Unnamed: 0,Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Total_Amount,Discount_Applied,Tax_Amount,Final_Payment,Service_Time,Booking_Time
16870,16871,678,6,1,03-01-2022,12-01-2022,12,Cancelled,Pending,3980.34,85.91,716.46,4610.89,16:14:39,23:50:52
30531,30532,1241,7,1,02-06-2012,10-06-2012,53,Cancelled,Refunded,3975.31,541.83,715.56,4149.04,04:45:01,18:21:25
28544,28545,1158,7,1,05-06-2012,15-06-2012,53,Confirmed,Failed,2667.2,78.77,480.1,3068.53,21:08:15,22:45:01
30525,30526,1241,7,1,15-06-2012,17-06-2012,53,Confirmed,Paid,2007.26,231.01,361.31,2137.56,16:22:05,20:08:58
6935,6936,277,7,1,14-06-2012,22-06-2012,53,Completed,Paid,1589.05,145.9,286.03,1729.18,22:21:45,07:24:30
30516,30517,1241,7,1,16-06-2012,26-06-2012,53,Completed,Paid,1891.4,37.88,340.45,2193.97,15:30:57,16:50:00
31803,31804,1296,7,1,25-06-2012,29-06-2012,53,Completed,Failed,3914.98,81,704.7,4538.68,15:47:09,15:14:25
16130,16131,649,7,1,25-06-2012,04-07-2012,53,Cancelled,Pending,4293.51,247.33,772.83,4819.01,14:38:59,11:58:23
31811,31812,1296,7,1,02-07-2012,05-07-2012,53,Confirmed,Pending,1623.45,7.5,292.22,1908.17,19:23:38,07:51:05
16154,16155,649,7,1,30-06-2012,08-07-2012,53,Confirmed,Paid,3952.24,61.07,711.4,4602.57,21:20:53,14:08:57
4520,4521,186,7,1,04-07-2012,10-07-2012,53,Confirmed,Pending,726.82,136.88,130.83,720.77,04:45:07,05:11:52
1831,1832,77,7,1,03-07-2012,11-07-2012,53,Completed,Paid,1690.21,283.44,304.24,1711.01,04:15:17,07:10:21
28540,28541,1158,7,1,10-07-2012,14-07-2012,53,Confirmed,Pending,3555.32,413.17,639.96,3782.11,05:31:43,08:33:38
26165,26166,1053,7,1,12-07-2012,18-07-2012,53,Completed,Pending,521,9.5,93.78,605.28,19:25:32,09:21:17
2419,2420,101,7,1,10-07-2012,19-07-2012,53,Cancelled,Failed,1934.9,137.93,348.28,2145.25,00:24:49,20:46:46
6932,6933,277,7,1,18-07-2012,20-07-2012,53,Confirmed,Refunded,4018.13,276.63,723.26,4464.76,17:09:12,01:06:12
22919,22920,926,8,1,06-04-2021,15-04-2021,14,Completed,Pending,2274.61,134.36,409.43,2549.68,14:24:44,14:36:12
9436,9437,378,8,1,10-04-2021,19-04-2021,14,Confirmed,Pending,1468.02,239.85,264.24,1492.41,10:02:38,15:59:16
22006,22007,896,8,1,19-04-2021,21-04-2021,14,Confirmed,Paid,2583.78,15.9,465.08,3032.96,05:04:49,17:02:57
12211,12212,489,8,1,21-04-2021,24-04-2021,14,Cancelled,Refunded,4423.29,57.31,796.19,5162.17,14:10:36,11:14:22
13391,13392,541,8,1,21-04-2021,28-04-2021,14,Confirmed,Paid,835.97,105.52,150.47,880.92,10:19:40,09:24:10
14134,14135,570,8,1,27-04-2021,01-05-2021,14,Cancelled,Pending,2866.6,174.84,515.99,3207.75,04:16:20,21:05:34
12196,12197,489,8,1,30-04-2021,03-05-2021,14,Confirmed,Failed,3935.28,673.06,708.35,3970.57,12:36:58,18:16:29
16314,16315,657,8,1,26-04-2021,06-05-2021,14,Completed,Pending,1618.73,52.29,291.37,1857.81,07:32:14,20:58:33
21986,21987,896,8,1,03-05-2021,09-05-2021,14,Completed,Paid,805.88,17.26,145.06,933.68,14:48:57,07:10:54
13282,13283,536,8,1,10-05-2021,13-05-2021,14,Cancelled,Pending,2141.67,187.56,385.5,2339.61,07:15:14,22:58:21
3268,3269,137,8,1,04-05-2021,14-05-2021,14,Confirmed,Paid,1488.94,207.29,268.01,1549.66,11:05:16,16:50:19
29247,29248,1192,8,1,13-05-2021,15-05-2021,14,Cancelled,Paid,1402.24,245.11,252.4,1409.53,18:34:59,00:47:39
18480,18481,744,9,1,06-11-2014,09-11-2014,13,Confirmed,Paid,854.05,41.53,153.73,966.25,06:26:13,01:55:17
7073,7074,282,9,1,09-11-2014,12-11-2014,13,Completed,Paid,1152.86,215,207.51,1145.37,05:23:43,05:39:23
3192,3193,134,9,1,14-11-2014,17-11-2014,13,Completed,Failed,826.55,11.58,148.78,963.75,18:34:37,03:08:06
14402,14403,583,9,1,15-11-2014,19-11-2014,13,Completed,Refunded,3173.24,194.28,571.18,3550.14,17:48:38,08:28:27
18499,18500,744,9,1,16-11-2014,21-11-2014,13,Cancelled,Paid,2648.23,119.37,476.68,3005.54,22:32:14,18:01:58
3194,3195,134,9,1,21-11-2014,26-11-2014,13,Confirmed,Failed,3016.56,414.56,542.98,3144.98,19:00:23,16:54:03
5521,5522,226,10,1,24-09-2018,04-10-2018,22,Confirmed,Paid,4448.06,768.79,800.65,4479.92,12:56:27,17:47:04
7317,7318,290,10,1,29-09-2018,05-10-2018,22,Confirmed,Pending,2793.37,461.31,502.81,2834.87,10:08:07,22:02:55
2738,2739,115,10,1,04-10-2018,08-10-2018,22,Confirmed,Pending,3919.27,561.12,705.47,4063.62,22:52:10,09:42:33
5546,5547,226,10,1,30-09-2018,10-10-2018,22,Completed,Paid,939.74,69.22,169.15,1039.67,17:30:46,10:05:31
6910,6911,276,10,1,06-10-2018,12-10-2018,22,Cancelled,Refunded,2110.18,211.93,379.83,2278.08,08:21:26,02:27:27
4916,4917,200,10,1,09-10-2018,13-10-2018,22,Completed,Paid,2672.01,48.22,480.96,3104.75,08:22:15,23:22:17
6880,6881,276,10,1,09-10-2018,14-10-2018,22,Completed,Pending,3568.57,268.12,642.34,3942.79,08:42:45,03:58:12
7325,7326,290,10,1,11-10-2018,16-10-2018,22,Completed,Failed,2548.87,336.02,458.8,2671.65,08:57:01,01:00:05
21787,21788,887,11,1,10-09-2013,19-09-2013,18,Confirmed,Pending,4228.2,839.25,761.08,4150.03,18:41:40,09:55:27
21810,21811,887,11,1,18-09-2013,22-09-2013,18,Completed,Refunded,4908.1,666.65,883.46,5124.91,21:30:39,21:20:08
14256,14257,576,11,1,21-09-2013,23-09-2013,18,Confirmed,Pending,2492.14,388.78,448.59,2551.95,23:49:08,21:42:57
952,953,39,11,1,18-09-2013,24-09-2013,18,Cancelled,Refunded,2000.75,385.43,360.13,1975.45,21:56:40,19:56:29
14257,14258,576,11,1,22-09-2013,26-09-2013,18,Confirmed,Failed,3661.06,583.6,658.99,3736.45,22:05:19,06:00:17
21485,21486,873,11,1,21-09-2013,28-09-2013,18,Cancelled,Paid,2932.11,428.38,527.78,3031.51,07:13:41,18:07:42
30137,30138,1225,11,1,25-09-2013,30-09-2013,18,Cancelled,Pending,4356.01,603.37,784.08,4536.72,07:33:27,08:00:22
29604,29605,1204,11,1,01-10-2013,03-10-2013,18,Confirmed,Paid,2611.16,107.64,470.01,2973.53,22:29:47,17:37:39
29590,29591,1204,11,1,02-10-2013,06-10-2013,18,Confirmed,Paid,3149.67,156.69,566.94,3559.92,11:13:32,14:03:07
31332,31333,1272,11,1,09-10-2013,11-10-2013,18,Confirmed,Failed,1191.55,237.43,214.48,1168.6,16:09:20,16:06:15
21795,21796,887,11,1,08-10-2013,14-10-2013,18,Confirmed,Pending,2684.73,41.52,483.25,3126.46,05:00:02,23:21:02
1110,1111,48,11,1,14-10-2013,19-10-2013,18,Confirmed,Pending,1322.05,42.82,237.97,1517.2,01:52:24,12:06:47
15059,15060,605,12,1,13-04-2017,23-04-2017,3,Completed,Refunded,2426.78,308.18,436.82,2555.42,12:06:39,20:39:20
15531,15532,623,12,1,25-04-2017,28-04-2017,3,Cancelled,Pending,4308.46,393.56,775.52,4690.42,13:48:07,23:07:46
8084,8085,317,13,1,03-04-2016,08-04-2016,4,Cancelled,Pending,3339.65,271.01,601.14,3669.78,09:03:33,04:08:29
6624,6625,267,14,1,14-02-2013,22-02-2013,43,Completed,Refunded,4837.99,519.75,870.84,5189.08,06:16:03,23:42:12
31242,31243,1269,14,1,19-02-2013,23-02-2013,43,Cancelled,Failed,3825.9,479.56,688.66,4035,14:03:50,02:31:40
1804,1805,76,14,1,20-02-2013,28-02-2013,43,Confirmed,Paid,978.67,84.1,176.16,1070.73,00:22:53,23:23:46
30070,30071,1223,14,1,26-02-2013,01-03-2013,43,Cancelled,Refunded,3959.89,320.07,712.78,4352.6,14:03:31,04:27:54
31247,31248,1269,14,1,01-03-2013,04-03-2013,43,Completed,Failed,4576.29,601.53,823.73,4798.49,21:10:21,04:00:39
31253,31254,1269,14,1,26-02-2013,05-03-2013,43,Cancelled,Pending,3956.97,651.49,712.25,4017.73,06:02:04,11:15:48
6636,6637,267,14,1,04-03-2013,08-03-2013,43,Completed,Paid,1520,262.32,273.6,1531.28,11:54:18,14:28:29
4874,4875,199,14,1,08-03-2013,12-03-2013,43,Confirmed,Pending,1226.99,40.36,220.86,1407.49,15:50:26,18:20:29
19584,19585,790,14,1,09-03-2013,13-03-2013,43,Cancelled,Failed,3945.47,405.03,710.18,4250.62,11:58:00,06:43:06
29776,29777,1213,14,1,11-03-2013,17-03-2013,43,Completed,Failed,4746.97,664.14,854.45,4937.28,12:36:26,02:58:40
26546,32995,1068,14,1,13-03-2013,18-03-2013,43,Completed,Pending,1384.52,2.51,249.21,1631.22,06:35:04,18:26:44
30464,30465,1239,14,1,15-03-2013,19-03-2013,43,Confirmed,Refunded,811.28,26.22,146.03,931.09,18:37:12,03:43:07
19736,19737,799,14,1,18-03-2013,23-03-2013,43,Confirmed,Paid,4618.28,630.52,831.29,4819.05,13:26:02,18:52:43
14751,14752,595,14,1,19-03-2013,25-03-2013,43,Cancelled,Failed,2720.13,344.6,489.62,2865.15,11:25:53,13:39:37
6633,6634,267,14,1,21-03-2013,27-03-2013,43,Confirmed,Failed,2457.74,371.98,442.39,2528.15,06:52:01,22:52:16
26543,26544,1068,14,1,28-03-2013,31-03-2013,43,Confirmed,Pending,2237.04,66.59,402.67,2573.12,17:28:39,14:26:10
19745,19746,799,14,1,23-03-2013,01-04-2013,43,Confirmed,Paid,3418.31,494.59,615.3,3539.02,03:01:55,08:00:51
26570,26571,1068,14,1,24-03-2013,02-04-2013,43,Confirmed,Paid,3814.33,306.15,686.58,4194.76,12:22:04,00:00:39
1692,1693,71,15,1,04-06-2015,09-06-2015,20,Cancelled,Paid,4871.17,497.68,876.81,5250.3,20:20:16,08:03:39
24956,24957,1006,15,1,05-06-2015,10-06-2015,20,Completed,Failed,2006.26,257.28,361.13,2110.11,14:20:55,06:50:59
24920,24921,1006,15,1,09-06-2015,11-06-2015,20,Cancelled,Paid,1664.34,232.55,299.58,1731.37,14:42:33,01:44:06
20935,20936,849,15,1,09-06-2015,15-06-2015,20,Cancelled,Pending,3041.91,272.58,547.54,3316.87,11:53:31,12:05:42
13871,13872,561,15,1,15-06-2015,18-06-2015,20,Cancelled,Failed,2955.65,301.26,532.02,3186.41,13:32:45,12:51:20
27506,27507,1110,15,1,14-06-2015,21-06-2015,20,Cancelled,Pending,4524.52,29.33,814.41,5309.6,22:16:11,20:10:17
24265,24266,979,16,1,31-03-2014,08-04-2014,49,Confirmed,Pending,4688.41,150.29,843.91,5382.03,23:01:30,21:33:52
24847,24848,1002,16,1,03-04-2014,13-04-2014,49,Completed,Paid,2373.18,422.8,427.17,2377.55,21:33:43,07:40:20
16641,16642,669,16,1,09-04-2014,15-04-2014,49,Completed,Refunded,2775.45,332.46,499.58,2942.57,02:14:51,11:51:13
29877,29878,1217,16,1,07-04-2014,16-04-2014,49,Cancelled,Refunded,4797.92,370.88,863.63,5290.67,16:39:17,01:56:57
19485,19486,786,16,1,15-04-2014,17-04-2014,49,Cancelled,Refunded,2554.99,245.96,459.9,2768.93,23:10:07,20:43:12
23336,23337,944,16,1,13-04-2014,20-04-2014,49,Completed,Failed,4539.07,90.13,817.03,5265.97,09:53:30,22:51:12
748,749,30,16,1,18-04-2014,21-04-2014,49,Confirmed,Refunded,1847.44,314.79,332.54,1865.19,11:42:32,15:50:44
19500,19501,786,16,1,17-04-2014,25-04-2014,49,Confirmed,Failed,3399.75,625.1,611.95,3386.6,10:06:02,21:18:07
16646,16647,669,16,1,23-04-2014,27-04-2014,49,Confirmed,Failed,1289.05,109.61,232.03,1411.47,07:54:07,01:21:00
29875,29876,1217,16,1,21-04-2014,01-05-2014,49,Cancelled,Refunded,1026.26,116.17,184.73,1094.82,16:32:23,19:03:56
27171,27172,1096,16,1,02-05-2014,04-05-2014,49,Confirmed,Pending,1927.99,290.67,347.04,1984.36,08:23:34,03:11:57
24268,24269,979,16,1,03-05-2014,08-05-2014,49,Cancelled,Refunded,1993.92,209.51,358.91,2143.32,05:53:24,05:59:36
16428,16429,663,16,1,06-05-2014,12-05-2014,49,Confirmed,Refunded,2971.24,423.88,534.82,3082.18,17:19:12,21:30:09
16622,16623,669,16,1,10-05-2014,16-05-2014,49,Cancelled,Failed,1118.48,126.73,201.33,1193.08,04:41:32,09:13:21
16454,16455,663,16,1,09-05-2014,19-05-2014,49,Cancelled,Paid,4159.18,284.69,748.65,4623.14,03:58:49,16:17:14
10325,10326,417,16,1,20-05-2014,23-05-2014,49,Confirmed,Pending,4381.77,297.03,788.72,4873.46,20:13:20,19:04:48
19470,19471,786,16,1,17-05-2014,26-05-2014,49,Cancelled,Refunded,2890.81,426.49,520.35,2984.67,20:38:50,22:39:55
17782,17783,714,17,1,11-08-2018,21-08-2018,47,Confirmed,Pending,1849.7,344.55,332.95,1838.1,01:26:52,21:55:14
8465,8466,333,17,1,22-08-2018,26-08-2018,47,Cancelled,Failed,2096.39,53.26,377.35,2420.48,23:47:31,09:42:51
12330,12331,493,17,1,25-08-2018,30-08-2018,47,Confirmed,Pending,676.77,51.84,121.82,746.75,10:34:34,19:34:35
12368,12369,493,17,1,01-09-2018,03-09-2018,47,Completed,Paid,1055.1,194.65,189.92,1050.37,14:58:43,21:20:01
28778,28779,1171,17,1,04-09-2018,06-09-2018,47,Cancelled,Pending,1796.09,231.53,323.3,1887.86,20:37:54,13:09:31
8477,8478,333,17,1,06-09-2018,11-09-2018,47,Confirmed,Failed,4491.92,855.19,808.55,4445.28,08:31:18,22:55:39
8486,8487,333,17,1,06-09-2018,16-09-2018,47,Cancelled,Paid,1165.55,199.48,209.8,1175.87,04:05:42,01:29:43
14119,14120,569,17,1,16-09-2018,18-09-2018,47,Confirmed,Paid,2590.51,50.75,466.29,3006.05,01:27:43,19:38:23
12889,12890,515,17,1,18-09-2018,23-09-2018,47,Completed,Failed,3219.09,343.94,579.44,3454.59,10:26:30,09:18:42
12876,12877,515,17,1,22-09-2018,28-09-2018,47,Cancelled,Pending,1979.79,77.21,356.36,2258.94,05:45:02,11:55:30
21255,21256,863,17,1,24-09-2018,29-09-2018,47,Completed,Pending,4693.26,63.71,844.79,5474.34,17:28:23,07:37:06
12352,12353,493,17,1,01-10-2018,04-10-2018,47,Cancelled,Paid,2762.35,394.05,497.22,2865.52,03:59:52,05:19:45
29191,29192,1189,17,1,26-09-2018,05-10-2018,47,Confirmed,Refunded,2994.46,346.05,539,3187.41,23:19:07,16:33:08
17777,17778,714,17,1,30-09-2018,08-10-2018,47,Completed,Refunded,3238.92,534.44,583.01,3287.49,23:37:49,00:40:28
5267,5268,215,18,1,20-02-2024,23-02-2024,38,Confirmed,Failed,4532.1,588.21,815.78,4759.67,20:09:59,23:04:58
19704,19705,797,18,1,23-02-2024,26-02-2024,38,Cancelled,Refunded,2051.91,369.02,369.34,2052.23,12:53:35,08:33:48
31370,31371,1274,18,1,28-02-2024,01-03-2024,38,Confirmed,Pending,4419.51,108.56,795.51,5106.46,01:37:30,18:29:30
15465,15466,619,18,1,01-03-2024,03-03-2024,38,Completed,Failed,4392.6,713.77,790.67,4469.5,05:08:51,07:01:29
16188,16189,650,18,1,01-03-2024,06-03-2024,38,Confirmed,Pending,4134.25,52.82,744.16,4825.59,03:38:36,00:18:00
31933,31934,1301,18,1,06-03-2024,09-03-2024,38,Cancelled,Failed,956.48,89.49,172.17,1039.16,09:53:58,01:08:41
23399,23400,947,18,1,07-03-2024,12-03-2024,38,Completed,Pending,4431.98,783.26,797.76,4446.48,16:16:37,04:19:50
7150,7151,283,18,1,05-03-2024,14-03-2024,38,Confirmed,Pending,3851.61,90.05,693.29,4454.85,05:22:04,00:40:54
7153,7154,283,18,1,07-03-2024,17-03-2024,38,Cancelled,Refunded,3266.97,607.89,588.05,3247.13,03:28:39,04:54:10
17661,17662,707,18,1,12-03-2024,22-03-2024,38,Completed,Refunded,1126.71,60.16,202.81,1269.36,23:36:50,20:22:24
390,391,15,18,1,23-03-2024,25-03-2024,38,Cancelled,Refunded,1484.09,254.49,267.14,1496.74,18:36:28,11:05:36
23398,23399,947,18,1,25-03-2024,29-03-2024,38,Completed,Failed,1324.66,90.42,238.44,1472.68,21:38:40,05:34:42
19715,19716,797,18,1,29-03-2024,02-04-2024,38,Cancelled,Refunded,3769.82,572.43,678.57,3875.96,12:16:06,06:15:22
23110,23111,933,18,1,02-04-2024,07-04-2024,38,Confirmed,Failed,2552.82,446.71,459.51,2565.62,02:24:31,19:46:33
22647,22648,916,18,1,03-04-2024,11-04-2024,38,Completed,Failed,2060.13,267.31,370.82,2163.64,13:24:58,07:26:21
10053,10054,405,18,1,09-04-2024,12-04-2024,38,Completed,Refunded,3464.88,327.28,623.68,3761.28,17:49:15,20:28:17
23116,23117,933,18,1,13-04-2024,16-04-2024,38,Completed,Refunded,2041.4,106.91,367.45,2301.94,06:28:18,17:43:07
31360,31361,1274,18,1,11-04-2024,17-04-2024,38,Cancelled,Paid,3558.61,391.66,640.55,3807.5,15:51:05,22:29:07
5269,5270,215,18,1,11-04-2024,20-04-2024,38,Confirmed,Paid,4105.09,148.92,738.92,4695.09,08:38:33,09:03:10
10050,10051,405,18,1,16-04-2024,22-04-2024,38,Cancelled,Paid,3370.69,85.96,606.72,3891.45,17:23:40,03:19:53
17226,17227,690,18,1,14-04-2024,24-04-2024,38,Cancelled,Paid,2081.58,165.12,374.68,2291.14,20:02:08,18:35:30
17657,17658,707,18,1,18-04-2024,28-04-2024,38,Confirmed,Failed,3829.21,592.49,689.26,3925.98,00:57:12,21:01:29
25194,25195,1017,18,1,24-04-2024,02-05-2024,38,Cancelled,Paid,2505.43,194.61,450.98,2761.8,15:15:19,13:30:32
10047,10048,405,18,1,02-05-2024,07-05-2024,38,Completed,Pending,3291.47,134.22,592.46,3749.71,16:14:03,09:02:02
5273,5274,215,18,1,02-05-2024,08-05-2024,38,Cancelled,Refunded,3820.1,302.81,687.62,4204.91,17:41:01,02:18:57
10059,10060,405,18,1,07-05-2024,13-05-2024,38,Completed,Paid,1986.03,317.8,357.49,2025.72,15:44:09,03:31:10
21351,21352,867,18,1,13-05-2024,18-05-2024,38,Completed,Refunded,3141.85,448.76,565.53,3258.62,17:40:37,09:06:02
