performance_review_id,average_rating,customer_feedback_score,total_reviews,completion_rate,cancellation_rate,response_time,no_show_rate
51,5.0,97.86,5,90.04,5.78,18.06,3.41
52,4.7,93.33,3,85.47,4.52,21.68,3.09
53,4.9,99.85,5,85.1,3.0,20.16,1.59
54,4.8,94.32,4,86.33,8.77,19.29,2.88
55,4.4,83.57,3,82.73,9.85,24.19,3.54
56,4.9,96.74,5,90.39,3.78,20.81,2.63
57,3.6,76.44,1,78.48,9.15,21.97,5.28
58,3.8,77.42,1,83.1,11.09,25.27,5.79
59,3.6,73.71,0,76.87,10.67,21.74,3.48
60,4.0,81.32,2,84.37,7.87,23.9,3.47
61,4.1,78.99,2,87.13,9.67,20.86,4.14
62,3.9,77.18,2,83.09,11.18,24.58,3.33
63,4.7,96.51,4,86.6,8.96,19.06,4.51
64,4.0,76.01,2,87.11,7.77,25.24,3.05
65,3.9,75.78,2,83.27,6.84,22.42,4.08
66,4.3,83.76,3,81.6,10.08,22.52,4.91
67,3.7,73.32,1,78.92,6.96,22.92,2.92
68,4.7,98.8,4,88.05,7.73,22.7,3.88
69,3.6,67.68,1,82.85,7.54,26.29,5.08
70,5.0,100.19,5,85.53,4.84,17.46,0.13
71,4.7,90.79,4,84.45,5.87,22.89,4.21
72,3.8,80.71,1,86.41,7.05,22.94,2.56
73,3.5,66.13,0,76.02,12.54,25.91,5.06
74,4.7,93.04,4,85.05,3.42,21.66,0.8
75,4.6,94.38,4,81.12,9.06,17.74,1.08
76,4.6,94.05,4,88.71,9.0,23.35,4.35
77,4.7,93.23,4,81.92,5.3,19.27,3.66
78,3.6,70.47,1,82.24,10.93,22.74,3.59
79,4.0,78.98,2,78.06,7.02,25.1,4.48
80,3.7,71.64,1,82.73,10.95,25.42,5.78
81,4.8,93.05,5,89.93,6.47,17.32,3.96
82,4.4,87.83,3,83.49,6.1,19.1,3.07
83,4.0,77.69,2,82.72,7.9,24.29,5.59
84,3.6,69.87,1,79.52,10.84,22.05,4.83
85,4.0,81.57,1,80.5,10.94,25.5,4.75
86,4.0,84.69,2,85.53,6.28,24.45,5.92
87,4.6,93.04,4,83.22,7.13,19.61,1.74
88,4.5,85.77,3,87.23,5.52,20.18,1.67
89,4.8,91.76,4,83.56,7.91,19.84,1.77
90,4.2,88.51,3,81.0,5.32,21.37,2.26
91,3.7,71.97,0,79.36,10.53,25.9,3.74
92,4.6,87.92,4,86.39,4.75,23.45,3.77
93,4.6,92.99,4,85.04,7.28,21.11,2.71
94,4.3,87.24,3,86.45,9.61,21.48,2.9
95,4.7,95.49,4,83.14,7.93,18.54,2.07
96,4.2,81.67,3,78.61,9.42,23.12,2.38
97,4.3,81.15,3,86.77,7.71,22.91,3.19
98,4.1,86.65,3,86.22,10.54,23.71,4.3
99,3.5,67.51,0,75.59,10.53,22.16,3.56
100,3.7,75.76,1,82.11,11.91,26.59,6.49
101,3.5,72.07,0,78.78,10.28,24.03,4.77
102,4.5,91.1,3,87.94,7.04,22.46,4.79
103,4.0,78.13,2,86.24,6.83,24.56,2.54
104,4.3,83.71,3,87.51,7.87,22.7,4.47
105,4.9,98.98,5,89.77,3.64,18.77,2.67
106,3.9,81.66,2,79.69,11.02,24.05,5.48
107,4.1,86.47,3,86.12,9.26,19.84,4.2
108,4.6,88.06,4,85.83,9.66,22.17,4.65
109,3.8,72.55,1,77.03,6.65,21.4,4.91
110,3.6,76.45,1,80.07,8.14,23.98,5.94
111,3.9,80.37,2,86.42,11.06,21.02,5.71
112,3.7,77.83,1,84.88,8.77,26.22,5.46
113,4.9,95.03,5,83.02,5.6,19.7,2.3
114,4.7,94.88,4,88.44,8.56,21.35,1.69
115,4.5,92.01,3,88.06,7.13,22.1,4.42
116,4.8,97.8,5,84.21,4.26,21.85,2.32
117,4.7,93.08,4,85.72,8.75,18.0,3.08
118,3.8,71.15,1,83.61,6.29,24.76,2.72
119,4.8,96.83,5,85.89,8.47,20.25,2.39
120,4.3,83.53,3,80.13,4.9,18.99,4.19
121,4.7,93.5,4,88.06,7.4,18.41,2.94
122,4.8,100.58,5,90.62,3.53,18.41,2.19
123,4.0,78.99,2,84.02,9.74,20.44,2.89
124,3.7,77.4,1,83.74,6.6,23.33,3.84
125,3.8,72.89,2,80.08,11.15,20.96,5.2
126,4.1,83.72,3,79.83,8.0,22.92,2.7
127,4.7,98.77,4,87.43,3.96,18.47,3.09
128,4.8,92.02,5,84.78,7.34,18.52,2.76
129,3.5,65.08,0,83.6,9.94,27.46,6.88
130,4.3,85.34,3,80.23,5.75,21.82,1.64
131,4.1,77.93,3,82.33,5.29,21.21,2.23
132,3.8,78.48,1,80.47,8.61,24.39,4.42
133,3.7,78.15,1,85.38,6.91,22.41,4.71
134,4.0,79.34,2,79.03,6.07,20.45,2.16
135,4.9,95.59,5,82.1,4.4,16.53,3.5
136,4.0,79.34,2,79.88,9.28,25.71,3.98
137,4.3,88.23,3,87.2,7.78,23.15,2.79
138,4.6,87.09,4,82.59,4.11,22.4,2.08
139,4.0,80.89,2,79.91,11.31,25.89,5.45
140,5.0,101.13,5,83.8,7.82,21.59,0.79
141,4.9,99.38,4,89.15,4.36,20.82,0.84
142,3.9,75.42,2,77.69,6.53,24.56,3.05
143,4.2,86.14,3,81.81,10.55,21.22,4.1
144,4.0,75.91,2,80.32,8.27,20.62,5.24
145,3.9,74.99,2,82.55,7.67,23.84,3.52
146,3.6,75.77,0,82.8,9.64,25.06,3.49
147,4.4,90.39,3,84.83,8.94,24.11,2.04
148,4.3,81.14,3,88.31,5.61,21.46,3.88
149,3.6,69.48,1,85.01,11.3,25.74,3.78
150,3.9,75.14,2,80.61,10.3,23.85,5.71
151,4.9,95.71,4,89.78,6.04,17.46,0.62
152,3.9,75.48,2,84.39,11.0,23.95,2.33
153,3.7,69.63,1,84.93,7.19,24.44,2.95
154,4.2,83.59,3,82.98,8.47,22.16,4.98
155,5.0,102.33,5,87.8,5.2,19.08,2.6
156,3.9,79.07,2,81.16,8.33,21.38,6.03
157,4.5,91.73,4,88.5,5.52,20.78,2.35
158,4.6,87.81,4,82.8,5.93,21.23,1.65
159,3.9,82.51,2,79.4,6.45,23.34,4.45
160,4.6,95.38,4,84.23,5.21,20.53,2.95
161,4.1,85.05,2,80.3,6.83,20.07,4.16
162,4.4,91.23,3,85.11,8.62,19.54,2.59
163,4.5,94.33,3,81.34,4.29,19.93,1.02
164,4.3,86.44,3,82.2,8.51,21.32,1.54
165,3.6,69.0,1,84.63,8.03,25.16,5.46
166,4.8,97.17,4,85.59,3.59,21.98,2.49
167,4.0,82.43,2,84.98,7.3,20.95,5.28
168,3.8,78.38,1,77.63,7.45,20.89,3.6
169,3.6,72.21,0,77.98,10.01,24.3,6.06
170,4.4,83.68,2,87.57,6.44,20.99,2.9
171,4.5,88.71,4,87.63,9.8,21.31,1.39
172,3.5,74.21,0,78.86,12.78,27.0,6.91
173,4.3,86.84,3,88.54,7.26,23.61,3.45
174,3.8,76.38,2,85.61,10.87,21.4,4.92
175,4.5,87.69,3,89.62,4.08,23.6,3.68
176,3.8,74.68,1,80.78,9.39,21.46,3.85
177,4.5,93.95,4,81.97,8.46,21.81,3.99
178,4.1,83.66,1,84.27,6.5,23.63,5.28
179,4.9,100.87,5,88.85,3.17,20.48,1.75
180,3.7,73.54,1,77.25,7.34,22.79,5.23
181,4.0,81.3,2,85.36,8.15,21.98,5.03
182,3.7,71.48,1,76.18,9.44,24.49,3.36
183,4.9,100.05,5,86.83,5.09,17.6,1.53
184,4.8,95.28,5,84.81,5.74,16.92,0.84
185,3.9,77.43,2,84.4,8.62,23.77,4.61
186,4.5,91.49,4,83.13,8.62,20.79,4.2
187,4.7,98.36,4,89.27,4.03,21.14,3.04
188,4.3,81.64,3,84.95,9.21,19.68,2.12
189,4.3,89.25,2,86.94,8.73,23.85,3.59
190,3.9,75.92,2,86.89,10.25,21.28,5.54
191,3.6,71.44,1,82.29,11.11,26.95,4.01
192,4.8,91.22,5,91.35,5.92,19.5,3.73
193,4.9,96.01,5,82.29,4.07,19.7,3.34
194,4.4,88.03,3,82.88,7.52,23.78,1.29
195,4.0,75.56,2,78.58,11.25,21.8,2.96
196,4.0,79.91,2,80.12,9.03,21.09,4.17
197,4.6,96.27,4,88.89,3.77,20.27,3.67
198,4.8,92.05,5,81.82,3.46,18.27,3.92
199,4.8,98.64,5,86.7,9.06,19.97,2.96
200,4.7,93.1,4,86.67,3.83,18.85,2.12
201,4.5,91.55,3,85.61,4.28,23.19,1.74
202,3.6,69.6,1,80.25,8.82,25.24,5.84
203,3.7,70.59,1,83.91,12.22,21.2,3.43
204,4.8,92.6,5,82.84,5.01,21.63,3.18
205,4.4,83.7,3,82.61,6.76,20.38,1.92
206,3.5,66.86,0,81.16,10.8,23.92,3.36
207,3.7,75.64,1,82.91,6.54,23.5,3.6
208,4.5,93.82,4,84.04,9.39,21.78,2.14
209,3.5,73.14,0,83.75,10.12,24.65,5.59
210,3.7,75.85,1,80.15,9.2,24.97,3.24
211,4.3,82.1,3,83.03,9.76,19.68,5.12
212,4.5,87.89,4,80.36,9.72,23.82,3.22
213,4.5,88.1,4,85.51,6.54,22.38,2.96
214,3.8,73.5,2,83.59,7.13,22.3,4.14
215,4.6,92.15,4,81.64,8.59,21.95,3.07
216,3.9,78.36,2,80.05,8.22,23.85,2.29
217,4.0,78.57,2,85.31,11.11,20.66,5.96
218,4.6,90.54,4,84.16,9.4,18.67,3.03
219,4.5,93.29,3,82.42,4.69,18.25,1.14
220,4.8,98.89,4,88.22,8.84,21.66,2.76
221,4.5,88.08,4,81.97,6.21,21.31,2.75
222,4.4,92.14,3,88.46,8.18,20.3,1.3
223,3.6,76.53,1,76.56,6.91,22.36,6.5
224,4.1,80.27,2,85.07,10.53,22.5,1.84
225,3.9,76.54,2,82.0,9.65,23.55,4.51
226,3.9,78.06,1,85.7,9.66,24.61,6.05
227,5.0,104.41,5,83.76,7.91,21.82,0.95
228,4.1,85.76,2,84.78,8.25,22.21,2.82
229,4.8,92.03,5,87.22,5.56,19.24,0.4
230,4.4,86.93,3,84.3,9.5,20.62,1.47
231,4.7,94.53,4,85.91,7.85,22.16,0.78
232,4.3,86.03,3,86.22,10.29,19.74,4.69
233,4.4,84.94,3,88.88,9.94,20.46,4.55
234,4.2,87.59,3,79.41,7.19,23.55,4.51
235,3.8,77.77,1,76.7,8.78,20.89,3.81
236,4.6,95.38,4,88.56,5.24,19.34,4.09
237,3.9,81.59,2,78.08,9.76,24.25,4.36
238,3.5,72.48,0,84.87,9.19,23.12,4.22
239,4.5,89.39,3,86.19,8.72,19.82,2.75
240,3.8,77.11,1,83.01,6.83,23.72,2.66
241,4.9,94.6,5,83.99,3.5,18.93,3.98
242,4.9,99.74,5,84.4,4.03,17.04,2.68
243,4.9,94.79,5,88.59,3.31,22.03,3.12
244,4.1,83.94,2,87.1,8.92,19.87,4.51
245,3.5,67.3,0,84.82,7.88,26.5,5.67
246,4.9,94.18,4,83.98,3.76,16.83,0.27
247,4.1,78.65,3,79.34,5.29,22.4,3.9
248,4.9,93.02,5,82.56,7.49,17.45,3.49
249,4.9,100.19,5,90.68,7.67,17.25,0.38
250,4.8,98.32,5,84.45,4.07,17.56,4.22
251,3.9,78.15,2,77.02,10.24,23.12,3.9
252,4.1,78.61,2,80.24,7.8,22.69,2.96
253,4.8,91.84,5,84.9,4.54,17.6,2.53
254,4.0,75.19,2,87.41,9.23,25.88,5.2
255,3.8,72.66,0,81.74,7.17,22.35,4.3
256,4.3,89.91,3,81.05,9.14,21.55,3.98
257,4.9,95.42,5,85.35,3.09,17.7,2.2
258,4.5,88.54,4,83.3,9.75,20.96,3.53
259,4.4,84.05,3,79.7,4.73,22.94,1.75
260,3.6,69.22,1,76.85,10.18,24.73,2.95
261,4.4,88.19,2,86.45,9.71,20.11,1.75
262,5.0,101.08,5,83.7,2.57,17.49,1.14
263,3.7,71.45,1,78.31,9.39,25.75,3.61
264,4.3,81.58,3,82.51,6.7,19.51,3.86
265,4.8,94.91,5,89.08,6.58,19.02,2.22
266,4.6,89.34,4,86.32,5.05,18.51,0.96
267,4.5,87.2,4,86.89,4.39,19.55,1.14
268,4.6,96.6,4,86.17,7.46,18.52,1.16
269,4.0,81.16,1,84.34,8.0,25.32,3.41
270,3.9,78.57,2,77.03,9.53,24.79,2.22
271,4.7,93.16,4,90.31,4.66,20.57,2.58
272,4.7,93.29,4,82.11,5.43,18.55,2.04
273,4.8,96.41,5,85.56,6.47,19.86,2.62
274,4.9,99.96,5,89.71,6.36,19.52,3.08
275,4.3,88.02,3,83.35,6.83,22.34,2.4
276,4.3,82.72,3,88.47,6.28,19.16,2.03
277,4.7,94.0,4,85.68,5.04,23.04,1.71
278,4.5,89.12,3,88.75,5.05,20.79,1.01
279,4.6,95.71,3,88.61,5.65,23.16,1.28
280,4.7,95.31,4,90.81,4.6,17.26,3.6
281,4.8,96.33,5,90.77,6.9,18.29,1.29
282,4.0,76.15,2,86.48,8.91,20.62,5.98
283,4.1,83.06,2,85.32,7.5,24.22,2.47
284,3.6,68.17,1,79.17,8.65,23.52,5.96
285,4.4,86.37,3,80.56,5.73,23.44,4.02
286,3.6,68.43,0,82.39,9.91,26.59,4.09
287,4.2,85.92,3,88.29,10.41,23.21,2.92
288,4.3,83.06,3,86.27,8.71,22.79,3.65
289,3.9,76.92,2,86.29,10.27,24.6,5.61
290,4.4,91.96,3,87.54,9.31,22.44,2.74
291,3.5,67.04,0,76.63,9.11,24.32,3.24
292,3.6,72.08,0,77.99,7.08,25.7,4.3
293,4.7,93.19,4,84.42,7.14,22.58,1.43
294,4.0,75.18,2,79.18,6.63,22.0,5.76
295,3.7,76.93,1,81.82,9.81,26.87,5.39
296,4.3,81.69,3,88.75,9.04,18.88,1.6
297,4.7,93.74,4,88.61,8.1,19.29,1.77
298,3.8,76.61,2,80.73,7.91,21.59,2.6
299,4.4,89.28,3,79.55,7.37,19.16,4.52
300,3.6,73.89,1,78.63,10.43,26.49,6.43
301,3.6,69.53,1,80.77,11.62,27.11,3.25
302,4.3,81.1,3,82.24,9.17,23.47,3.16
303,4.3,88.23,3,80.11,10.53,24.66,5.13
304,4.5,90.36,3,84.43,4.05,19.3,1.58
305,4.6,95.36,4,83.03,6.32,18.44,1.97
306,5.0,103.21,5,91.59,4.04,19.12,1.22
307,4.3,89.43,3,80.02,5.32,23.77,1.52
308,4.0,79.85,2,77.99,10.97,20.24,2.15
309,4.7,92.34,4,81.05,9.39,23.17,4.41
310,3.9,80.92,2,80.28,6.88,24.01,4.48
311,4.2,83.51,3,85.1,5.13,25.07,2.83
312,3.6,68.83,1,82.8,8.35,23.79,4.31
313,3.5,73.55,0,79.53,12.01,24.75,5.86
314,4.9,101.83,5,88.84,4.56,20.91,1.67
315,4.8,95.66,4,85.1,3.44,21.56,1.31
316,4.5,85.76,4,86.68,4.31,19.4,1.41
317,4.1,80.88,3,78.41,7.76,25.18,4.72
318,3.8,79.04,1,80.41,11.69,26.0,3.12
319,3.7,78.02,0,83.91,8.12,21.31,2.88
320,3.9,75.03,2,85.03,8.36,21.17,3.91
321,4.3,81.67,3,86.16,5.21,21.78,1.56
322,4.6,95.77,4,82.54,6.66,20.37,4.66
323,4.5,88.89,4,82.47,8.18,22.25,3.51
324,3.9,78.42,2,86.96,7.43,20.94,2.81
325,4.9,102.68,5,83.03,4.58,20.27,0.89
326,4.6,87.67,4,82.31,8.75,21.3,3.08
327,4.3,87.48,3,80.3,4.66,20.2,2.83
328,4.4,83.74,3,82.78,8.12,21.65,4.3
329,4.1,80.75,3,80.1,7.56,20.93,3.98
330,3.9,81.04,2,81.98,7.59,21.28,3.93
331,4.0,79.33,2,82.26,9.45,23.44,5.85
332,4.6,96.97,4,89.52,8.71,23.46,2.36
333,3.5,70.59,0,75.35,10.35,23.42,4.6
334,3.7,72.21,1,79.2,6.59,23.33,5.26
335,3.6,69.2,0,81.47,9.47,23.14,6.04
336,3.6,70.51,0,81.55,9.48,23.2,5.3
337,4.8,94.73,5,86.3,6.36,19.23,3.19
338,4.6,87.69,4,88.66,7.73,21.81,2.29
339,4.2,82.7,3,79.13,5.02,19.43,3.52
340,3.6,71.64,1,83.65,9.71,27.34,3.59
341,4.2,86.23,3,83.45,8.43,19.48,4.32
342,4.2,85.57,3,79.84,6.96,24.49,2.49
343,3.8,78.09,1,85.36,10.11,26.17,2.41
344,4.2,79.08,3,84.99,6.27,22.35,5.34
345,4.1,79.18,2,79.64,7.1,20.42,3.02
346,4.4,89.62,3,79.84,10.08,21.79,1.99
347,4.5,89.84,3,81.41,6.09,21.77,2.07
348,3.6,67.05,0,81.59,8.78,26.75,4.12
349,4.1,85.04,2,79.79,8.77,22.91,3.7
350,4.4,90.73,3,81.76,10.13,20.86,1.48
351,4.3,86.48,3,79.25,10.5,23.83,1.61
352,4.8,91.66,5,88.73,6.58,22.69,1.57
353,4.5,92.67,4,88.1,4.01,21.87,2.18
354,3.7,74.84,1,83.97,11.8,26.45,3.07
355,3.6,74.82,1,76.78,10.12,25.19,4.42
356,4.5,92.52,3,89.03,6.2,22.14,2.14
357,3.5,73.03,0,81.72,11.98,26.13,3.1
358,4.4,88.18,3,88.48,6.7,22.63,4.74
359,4.9,94.4,5,86.47,3.0,18.33,3.74
360,4.4,89.71,3,83.87,9.23,21.85,2.04
361,4.1,83.2,2,85.85,8.48,23.16,2.45
362,4.5,92.42,3,80.93,6.03,19.89,3.19
363,4.2,80.7,3,83.71,6.41,21.3,4.12
364,4.3,82.95,3,87.36,8.16,23.37,5.23
365,4.9,101.9,5,90.3,4.05,19.9,1.71
366,4.1,84.5,2,87.56,7.14,20.5,4.27
367,4.9,102.08,5,88.98,6.62,21.43,3.71
368,4.9,100.59,5,84.08,8.09,21.7,2.0
369,3.8,76.97,1,76.7,9.3,23.6,2.89
370,3.6,73.54,0,80.29,11.25,22.85,4.31
371,3.7,77.89,1,81.14,10.98,26.89,3.15
372,3.5,70.79,0,77.4,10.99,27.29,3.07
373,3.6,73.32,1,76.75,8.18,23.07,5.81
374,4.5,86.56,4,85.86,9.2,18.57,1.95
375,3.6,71.74,1,83.14,9.32,24.24,2.81
376,4.0,82.16,2,87.43,5.77,24.06,5.49
377,4.8,93.71,4,89.08,4.57,17.85,2.18
378,3.5,67.02,0,82.94,11.59,25.08,3.96
379,4.7,92.14,4,87.16,3.81,19.75,1.65
380,3.9,75.42,2,86.86,6.68,25.74,3.16
381,3.7,71.15,1,82.4,10.57,23.78,3.38
382,4.5,89.25,4,88.6,9.36,21.2,4.36
383,4.4,92.08,3,88.96,8.1,24.13,1.88
384,4.8,96.07,5,90.8,4.43,18.6,2.65
385,4.6,88.88,4,84.31,4.02,19.33,1.11
386,4.7,89.77,4,81.79,7.09,22.0,4.4
387,3.9,79.96,2,78.72,6.08,22.07,4.61
388,3.8,74.83,1,77.09,9.78,25.79,6.01
389,4.6,95.22,4,81.55,5.05,18.17,2.39
390,4.7,95.6,4,82.85,8.83,17.87,3.84
391,5.0,102.96,5,85.91,5.35,21.41,3.41
392,4.1,79.72,3,83.44,6.54,22.84,4.61
393,4.1,83.92,2,85.12,10.32,23.91,2.17
394,4.7,91.64,4,83.11,4.92,18.55,0.66
395,4.0,84.39,2,84.23,7.34,21.0,2.67
396,4.9,99.36,5,89.04,7.81,21.41,0.67
397,4.8,94.25,5,87.09,4.95,18.95,3.3
398,4.1,79.7,3,87.04,7.66,22.33,4.03
399,4.6,88.91,4,81.61,5.79,17.77,2.9
400,4.6,93.95,4,82.27,4.4,19.92,1.81
401,3.7,71.19,1,80.29,6.63,25.82,3.22
402,4.9,98.95,5,83.27,7.15,21.33,1.03
403,4.3,83.65,3,84.66,8.47,22.99,3.0
404,4.7,95.62,4,84.98,5.09,21.35,3.56
405,4.0,83.15,2,80.35,7.27,23.04,3.02
406,4.8,98.78,4,83.2,8.77,20.03,3.19
407,4.1,84.61,2,81.35,11.13,24.06,3.77
408,3.5,66.88,0,81.08,9.84,23.48,6.54
409,4.9,93.88,5,87.76,7.61,17.79,1.13
410,3.6,73.99,1,77.14,11.12,27.3,4.6
411,4.0,78.68,2,78.75,7.28,20.17,2.39
412,4.9,97.32,5,82.27,3.15,17.24,1.54
413,4.9,93.31,5,82.12,3.66,19.82,2.23
414,4.4,85.6,3,88.3,9.33,22.83,4.13
415,4.4,83.34,3,79.95,8.69,21.63,1.99
416,4.2,87.79,3,85.81,8.89,21.33,2.47
417,3.9,75.43,2,85.72,6.58,26.27,4.73
418,4.0,80.57,2,78.48,9.34,24.22,3.53
419,4.5,85.39,4,84.36,8.63,22.99,2.93
420,4.6,93.67,4,90.12,8.86,17.84,4.14
421,4.7,92.23,4,89.34,3.48,18.62,2.6
422,4.7,97.98,4,85.9,7.51,19.45,3.21
423,3.6,75.88,1,83.13,6.81,22.7,5.43
424,4.2,82.25,2,86.83,9.14,19.64,4.81
425,3.6,76.01,1,78.98,10.51,22.95,5.35
426,4.3,90.96,2,87.92,5.49,22.0,1.66
427,4.2,87.25,3,83.2,9.5,23.37,2.97
428,4.8,99.45,5,86.78,3.51,21.44,4.36
429,4.0,77.49,2,87.5,10.46,20.26,2.79
430,3.7,74.77,1,84.43,7.97,23.77,4.95
431,3.7,69.67,0,79.62,10.53,21.93,5.97
432,4.6,87.95,4,80.6,9.24,20.19,3.15
433,4.4,92.99,3,85.76,6.34,21.0,2.69
434,3.7,72.27,1,83.04,9.42,24.19,2.92
435,3.6,74.48,1,82.01,9.48,26.96,4.25
436,4.6,95.07,4,90.18,4.65,22.43,1.53
437,3.6,75.58,1,84.13,10.24,25.42,6.64
438,4.7,98.98,4,85.49,7.86,22.51,3.46
439,4.6,89.41,4,81.13,9.2,21.67,3.8
440,3.6,67.4,1,80.26,11.8,26.51,4.54
441,3.6,71.11,1,82.39,9.76,24.98,3.24
442,5.0,96.3,5,88.58,6.81,19.15,1.07
443,4.1,77.22,2,83.38,10.0,23.94,2.84
444,4.1,80.6,2,82.69,8.16,19.72,3.75
445,4.7,96.84,3,83.94,4.09,21.34,2.44
446,4.9,98.66,5,84.77,5.43,22.01,1.93
447,5.0,98.13,5,87.5,7.55,20.28,1.98
448,4.6,93.54,4,82.11,7.28,17.82,4.75
449,4.1,79.32,2,81.41,9.55,21.87,2.99
450,3.6,67.14,1,78.74,7.81,26.46,5.26
451,4.7,96.64,4,86.87,9.19,22.95,1.56
452,4.3,87.24,3,79.67,7.02,21.02,3.27
453,4.1,84.62,3,86.3,9.12,24.65,2.6
454,4.9,93.39,5,87.62,2.91,21.58,2.43
455,3.7,77.37,1,82.71,7.16,21.94,3.66
456,4.2,85.2,3,85.53,9.59,24.27,1.75
457,3.5,70.63,0,77.91,12.81,23.95,6.26
458,4.2,85.25,2,83.2,6.82,22.76,2.11
459,3.6,75.64,1,85.06,6.92,24.83,4.27
460,3.7,74.87,1,83.67,8.57,25.18,4.51
461,3.7,74.81,1,85.7,6.5,25.64,4.33
462,4.5,94.91,3,87.46,5.15,20.65,3.9
463,4.6,94.57,4,82.26,8.21,22.93,3.19
464,4.4,87.42,3,80.15,9.92,23.26,2.38
465,4.9,100.07,4,87.78,3.32,21.11,0.41
466,4.1,80.89,1,81.58,8.55,22.35,4.87
467,3.9,75.29,2,79.75,7.32,20.63,3.61
468,4.8,96.97,5,89.57,3.93,19.75,3.96
469,3.8,80.28,2,80.17,7.41,26.19,3.98
470,4.9,102.29,5,85.17,6.27,17.54,3.07
471,3.5,68.42,0,83.5,7.39,27.9,6.76
472,5.0,100.28,5,90.96,5.11,20.85,2.6
473,3.6,69.12,0,79.06,7.51,25.86,4.45
474,4.8,100.96,5,89.82,4.74,20.86,2.67
475,4.3,90.81,3,87.51,5.74,22.32,3.57
476,5.0,101.5,5,86.74,7.8,20.32,2.34
477,3.6,75.04,1,76.16,10.95,24.13,3.39
478,4.3,88.15,3,79.02,9.81,23.87,4.19
479,5.0,100.93,5,87.73,4.8,20.18,0.58
480,4.3,81.53,3,82.44,6.48,23.43,1.46
481,4.4,87.55,3,89.47,6.58,23.15,3.7
482,4.5,91.75,4,87.72,4.11,18.55,1.47
483,4.2,85.78,3,86.11,9.25,19.53,4.68
484,4.4,86.73,3,89.05,6.4,23.21,4.66
485,4.4,92.42,3,88.38,6.18,19.96,4.98
486,4.9,94.67,5,85.18,6.39,19.89,2.86
487,3.6,72.0,0,77.16,9.32,24.26,4.73
488,3.9,79.91,2,84.46,11.69,20.53,3.61
489,4.9,99.97,4,85.78,4.94,16.64,2.16
490,4.8,97.49,5,86.23,6.78,21.76,1.16
491,4.2,81.75,3,84.8,6.77,22.85,2.99
492,4.4,84.56,3,88.58,10.24,21.54,4.07
493,3.9,79.36,1,81.19,8.47,26.07,3.07
494,3.8,76.99,1,84.33,9.9,21.84,3.46
495,4.2,80.79,3,81.18,5.66,20.75,4.6
496,4.0,82.05,2,84.48,9.9,24.54,2.71
