Unnamed: 0,Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Total_Amount,Discount_Applied,Tax_Amount,Final_Payment
66,67,2,2437,10,43:34.1,43:34.1,53,Completed,Failed,4906.08,626.19,883.09,5162.98
67,68,2,817,4,43:34.1,43:34.1,53,Cancelled,Failed,607.53,111.58,109.36,605.31
68,69,2,547,3,43:34.1,43:34.1,53,Confirmed,Failed,3053.55,333.38,549.64,3269.81
69,70,2,601,3,43:34.1,43:34.1,53,Cancelled,Paid,956.64,124.1,172.2,1004.74
70,71,2,709,3,43:34.1,43:34.1,53,Completed,Paid,2147.25,330.53,386.5,2203.22
71,72,2,1249,5,43:34.1,43:34.1,53,Confirmed,Pending,1307.97,108.4,235.43,1435
72,73,2,1141,5,43:34.1,43:34.1,53,Cancelled,Paid,4316.07,630.58,776.89,4462.38
73,74,2,925,4,43:34.1,43:34.1,53,Cancelled,Failed,1100.26,44.66,198.05,1253.65
74,75,2,1087,5,43:34.1,43:34.1,53,Confirmed,Pending,4700.84,715.77,846.15,4831.22
75,76,2,1951,8,43:34.1,43:34.1,53,Completed,Paid,1000.65,185.42,180.12,995.35
76,77,2,2437,10,43:34.1,43:34.1,53,Confirmed,Pending,786.99,113.01,141.66,815.64
77,78,2,979,4,43:34.1,43:34.1,53,Cancelled,Failed,724.09,30.13,130.34,824.3
78,79,2,2059,8,43:34.1,43:34.1,53,Cancelled,Pending,1505.16,240.75,270.93,1535.34
79,80,2,1411,6,43:34.1,43:34.1,53,Completed,Paid,2610.5,392.72,469.89,2687.67
80,81,2,979,4,43:34.1,43:34.1,53,Confirmed,Failed,892.9,157.48,160.72,896.14
81,82,2,331,2,43:34.1,43:34.1,53,Confirmed,Failed,2298.55,328.13,413.74,2384.16
82,83,2,2653,10,43:34.1,43:34.1,53,Completed,Paid,4600.62,771.36,828.11,4657.37
83,84,2,871,4,43:34.1,43:34.1,53,Completed,Paid,2399.47,363.7,431.9,2467.67
84,85,2,1249,5,43:34.1,43:34.1,53,Cancelled,Refunded,3838.21,618.72,690.88,3910.37
85,86,2,2437,10,43:34.1,43:34.1,53,Cancelled,Failed,1985.29,63.44,357.35,2279.2
86,87,2,817,4,43:34.1,43:34.1,53,Confirmed,Refunded,3040.55,168.85,547.3,3419
87,88,3,703,3,43:34.1,43:34.1,25,Cancelled,Pending,2944.98,290.11,530.1,3184.97
88,89,3,1675,7,43:34.1,43:34.1,25,Cancelled,Refunded,4499.43,383.05,809.9,4926.28
89,90,3,2431,10,43:34.1,43:34.1,25,Cancelled,Pending,4121.47,421.26,741.86,4442.07
90,91,3,2431,10,43:34.1,43:34.1,25,Confirmed,Refunded,3347.35,440.41,602.52,3509.46
91,92,3,1027,4,43:34.1,43:34.1,25,Confirmed,Failed,1748.64,7.74,314.76,2055.66
92,93,3,1621,7,43:34.1,43:34.1,25,Cancelled,Paid,2031.38,225.91,365.65,2171.12
93,94,3,1567,6,43:34.1,43:34.1,25,Completed,Pending,4856.61,788.54,874.19,4942.26
94,95,3,2377,9,43:34.1,43:34.1,25,Confirmed,Paid,2777.01,92.34,499.86,3184.53
95,96,3,2107,8,43:34.1,43:34.1,25,Confirmed,Failed,2373.66,466.56,427.26,2334.36
96,97,3,2323,9,43:34.1,43:34.1,25,Cancelled,Refunded,1503.02,97.08,270.54,1676.48
97,98,3,325,2,43:34.1,43:34.1,25,Confirmed,Failed,3680.59,498.85,662.51,3844.25
98,99,3,649,3,43:34.1,43:34.1,25,Cancelled,Failed,4847.3,417.61,872.51,5302.2
99,100,3,1729,7,43:34.1,43:34.1,25,Cancelled,Refunded,3760.19,639.75,676.83,3797.27
100,101,3,1621,7,43:34.1,43:34.1,25,Confirmed,Failed,1731.12,275.45,311.6,1767.27
101,102,3,595,3,43:34.1,43:34.1,25,Cancelled,Pending,4290.36,276.18,772.26,4786.44
102,103,3,649,3,43:34.1,43:34.1,25,Completed,Failed,4041.89,86.47,727.54,4682.96
103,104,3,2323,9,43:34.1,43:34.1,25,Cancelled,Refunded,4001.7,304.4,720.31,4417.61
104,105,3,2593,10,43:34.1,43:34.1,25,Completed,Failed,4807.48,642.3,865.35,5030.53
105,106,3,1837,7,43:34.1,43:34.1,25,Confirmed,Refunded,969.05,126.76,174.43,1016.72
106,107,3,757,3,43:34.1,43:34.1,25,Confirmed,Refunded,982.3,173.15,176.81,985.96
107,108,3,1675,7,43:34.1,43:34.1,25,Completed,Refunded,4225.27,260.24,760.55,4725.58
108,109,3,1945,8,43:34.1,43:34.1,25,Cancelled,Failed,1669.8,204.14,300.56,1766.22
109,110,3,757,3,43:34.1,43:34.1,25,Confirmed,Failed,1811.31,178.57,326.04,1958.78
110,111,3,2647,10,43:34.1,43:34.1,25,Cancelled,Failed,3763.27,372.92,677.39,4067.74
111,112,3,703,3,43:34.1,43:34.1,25,Confirmed,Failed,2194.08,84.09,394.93,2504.92
112,113,3,325,2,43:34.1,43:34.1,25,Cancelled,Refunded,901.12,88.87,162.2,974.45
113,114,3,1675,7,43:34.1,43:34.1,25,Completed,Refunded,4700.62,423.83,846.11,5122.9
114,115,4,2568,10,43:34.1,43:34.1,8,Completed,Refunded,3841.14,352.53,691.41,4180.02
115,116,4,732,3,43:34.1,43:34.1,8,Completed,Paid,3515.46,481.97,632.78,3666.27
116,117,4,678,3,43:34.1,43:34.1,8,Completed,Paid,2768.06,260.03,498.25,3006.28
117,118,4,1542,6,43:34.1,43:34.1,8,Completed,Pending,3064.94,5.1,551.69,3611.53
118,119,4,30,1,43:34.1,43:34.1,8,Cancelled,Paid,3490.16,64.78,628.23,4053.61
119,120,4,1326,5,43:34.1,43:34.1,8,Completed,Pending,2122.78,57.14,382.1,2447.74
120,121,4,138,1,43:34.1,43:34.1,8,Completed,Failed,3999.52,346.68,719.91,4372.75
121,122,4,894,4,43:34.1,43:34.1,8,Completed,Refunded,1936.64,301.99,348.6,1983.25
122,123,4,1380,6,43:34.1,43:34.1,8,Cancelled,Failed,2050.81,348.69,369.15,2071.27
123,124,4,1380,6,43:34.1,43:34.1,8,Completed,Pending,3428.91,173.69,617.2,3872.42
124,125,5,544,3,43:34.1,43:34.1,29,Cancelled,Paid,3178.09,296.76,572.06,3453.39
125,126,5,58,1,43:34.1,43:34.1,29,Cancelled,Paid,987.06,49.55,177.67,1115.18
126,127,5,58,1,43:34.1,43:34.1,29,Cancelled,Failed,4597.68,738.99,827.58,4686.27
127,128,5,4,1,43:34.1,43:34.1,29,Cancelled,Pending,3843.55,305.31,691.84,4230.08
128,129,5,2110,8,43:34.1,43:34.1,29,Completed,Refunded,1175.31,50.22,211.56,1336.65
129,130,5,1732,7,43:34.1,43:34.1,29,Cancelled,Paid,2656.4,248.16,478.15,2886.39
130,131,5,2650,10,43:34.1,43:34.1,29,Cancelled,Failed,3603.8,323.86,648.68,3928.62
131,132,5,166,1,43:34.1,43:34.1,29,Completed,Pending,657.46,95.54,118.34,680.26
132,133,5,706,3,43:34.1,43:34.1,29,Completed,Failed,593.16,60.95,106.77,638.98
133,134,5,1516,6,43:34.1,43:34.1,29,Confirmed,Paid,740.83,33.96,133.35,840.22
134,135,5,598,3,43:34.1,43:34.1,29,Cancelled,Refunded,3251.81,537.59,585.33,3299.55
135,136,5,220,1,43:34.1,43:34.1,29,Cancelled,Failed,4191.84,11.87,754.53,4934.5
136,137,5,1246,5,43:34.1,43:34.1,29,Confirmed,Paid,523.15,35.43,94.17,581.89
137,138,5,436,2,43:34.1,43:34.1,29,Cancelled,Failed,4551.87,371.66,819.34,4999.55
138,139,5,328,2,43:34.1,43:34.1,29,Cancelled,Pending,2035.97,69.68,366.47,2332.76
139,140,5,1678,7,43:34.1,43:34.1,29,Confirmed,Failed,639.46,64.36,115.1,690.2
140,141,5,328,2,43:34.1,43:34.1,29,Cancelled,Pending,1042.12,150.47,187.58,1079.23
141,142,5,58,1,43:34.1,43:34.1,29,Confirmed,Pending,768.8,5.27,138.38,901.91
142,143,5,2542,10,43:34.1,43:34.1,29,Completed,Refunded,2839.46,365.65,511.1,2984.91
143,144,5,1948,8,43:34.1,43:34.1,29,Confirmed,Paid,2432.65,85.79,437.88,2784.74
144,145,5,1462,6,43:34.1,43:34.1,29,Confirmed,Failed,2949.53,522.12,530.92,2958.33
145,146,5,1300,5,43:34.1,43:34.1,29,Completed,Failed,4905.34,369.58,882.96,5418.72
146,147,5,490,2,43:34.1,43:34.1,29,Cancelled,Refunded,2731.27,39.37,491.63,3183.53
147,148,5,1894,8,43:34.1,43:34.1,29,Cancelled,Refunded,3812.26,280.74,686.21,4217.73
148,149,5,166,1,43:34.1,43:34.1,29,Cancelled,Failed,1833.24,72.35,329.98,2090.87
149,150,5,2488,10,43:34.1,43:34.1,29,Confirmed,Failed,2821.66,274.94,507.9,3054.62
150,151,5,1732,7,43:34.1,43:34.1,29,Confirmed,Pending,4136.01,499.82,744.48,4380.67
151,152,5,760,3,43:34.1,43:34.1,29,Confirmed,Failed,4911.76,480.53,884.12,5315.35
152,153,5,1408,6,43:34.1,43:34.1,29,Cancelled,Paid,661.36,69.76,119.04,710.64
153,154,5,328,2,43:34.1,43:34.1,29,Cancelled,Refunded,4714.06,110.21,848.53,5452.38
154,155,5,274,2,43:34.1,43:34.1,29,Cancelled,Refunded,2714.55,259.13,488.62,2944.04
155,156,5,1786,7,43:34.1,43:34.1,29,Cancelled,Refunded,3065.96,290.05,551.87,3327.78
156,157,5,1840,7,43:34.1,43:34.1,29,Completed,Pending,1740.1,292.41,313.22,1760.91
157,158,5,490,2,43:34.1,43:34.1,29,Confirmed,Paid,2811.98,68.99,506.16,3249.15
158,159,5,2272,9,43:34.1,43:34.1,29,Confirmed,Failed,3647.07,210.94,656.47,4092.6
159,160,6,2109,8,43:34.1,43:34.1,9,Confirmed,Failed,3727.61,559.47,670.97,3839.11
160,161,6,2649,10,43:34.1,43:34.1,9,Confirmed,Failed,1673.35,279,301.2,1695.55
161,162,6,705,3,43:34.1,43:34.1,9,Completed,Refunded,2438.41,315.43,438.91,2561.89
162,163,6,1461,6,43:34.2,43:34.2,9,Confirmed,Failed,2041.81,169.53,367.53,2239.81
163,164,6,2379,9,43:34.2,43:34.2,9,Cancelled,Failed,3064.21,493.98,551.56,3121.79
164,165,6,1299,5,43:34.2,43:34.2,9,Completed,Pending,4314.24,729.97,776.56,4360.83
165,166,6,1353,6,43:34.2,43:34.2,9,Cancelled,Pending,1833.61,309.64,330.05,1854.02
166,167,6,1623,7,43:34.2,43:34.2,9,Confirmed,Paid,2199.66,72.75,395.94,2522.85
167,168,6,327,2,43:34.2,43:34.2,9,Cancelled,Failed,1916.46,190.19,344.96,2071.23
168,169,6,1839,7,43:34.2,43:34.2,9,Completed,Failed,2214.43,68.97,398.6,2544.06
169,170,6,2109,8,43:34.2,43:34.2,9,Confirmed,Refunded,2485.53,196.45,447.4,2736.48
170,171,6,1461,6,43:34.2,43:34.2,9,Cancelled,Refunded,2585.79,37.25,465.44,3013.98
171,172,6,1029,4,43:34.2,43:34.2,9,Confirmed,Refunded,2657.2,429.03,478.3,2706.47
172,173,6,2271,9,43:34.2,43:34.2,9,Completed,Pending,4800.54,485.65,864.1,5178.99
173,174,6,2487,10,43:34.2,43:34.2,9,Completed,Failed,2754.57,167.26,495.82,3083.13
174,175,6,2055,8,43:34.2,43:34.2,9,Cancelled,Paid,2986.79,503.06,537.62,3021.35
175,176,6,759,3,43:34.2,43:34.2,9,Cancelled,Pending,4527.7,504.57,814.99,4838.12
176,177,6,2487,10,43:34.2,43:34.2,9,Cancelled,Refunded,3885.68,262.89,699.42,4322.21
177,178,6,2379,9,43:34.2,43:34.2,9,Cancelled,Paid,1403.34,181.03,252.6,1474.91
178,179,7,2403,9,43:34.2,43:34.2,54,Cancelled,Paid,740.65,65.04,133.32,808.93
179,180,7,1647,7,43:34.2,43:34.2,54,Confirmed,Refunded,679.43,47.16,122.3,754.57
180,181,7,1269,5,43:34.2,43:34.2,54,Confirmed,Refunded,661.68,30.17,119.1,750.61
181,182,7,459,2,43:34.2,43:34.2,54,Confirmed,Paid,2414.08,227.66,434.53,2620.95
182,183,7,1107,5,43:34.2,43:34.2,54,Cancelled,Failed,2007.27,209.12,361.31,2159.46
183,184,7,1593,6,43:34.2,43:34.2,54,Completed,Refunded,1759.16,24.57,316.65,2051.24
184,185,7,297,2,43:34.2,43:34.2,54,Confirmed,Paid,1084.14,46.33,195.15,1232.96
185,186,7,27,1,43:34.2,43:34.2,54,Cancelled,Failed,1110.05,123.78,199.81,1186.08
186,187,7,1485,6,43:34.2,43:34.2,54,Confirmed,Pending,4430.29,211.99,797.45,5015.75
187,188,7,891,4,43:34.2,43:34.2,54,Cancelled,Paid,1267.9,183.43,228.22,1312.69
188,189,7,1053,4,43:34.2,43:34.2,54,Completed,Pending,3294.01,529.22,592.92,3357.71
189,190,7,999,4,43:34.2,43:34.2,54,Completed,Pending,1058.99,172.3,190.62,1077.31
190,191,7,1701,7,43:34.2,43:34.2,54,Cancelled,Pending,3303.52,269.33,594.63,3628.82
191,192,7,1539,6,43:34.2,43:34.2,54,Confirmed,Failed,1930.5,20.18,347.49,2257.81
192,193,7,1053,4,43:34.2,43:34.2,54,Cancelled,Refunded,2339.45,42.75,421.1,2717.8
193,194,7,1755,7,43:34.2,43:34.2,54,Cancelled,Refunded,1601.5,313.49,288.27,1576.28
194,195,7,1647,7,43:34.2,43:34.2,54,Cancelled,Pending,2842.29,219.9,511.61,3134
195,196,7,189,1,43:34.2,43:34.2,54,Cancelled,Paid,1387.44,222.45,249.74,1414.73
196,197,7,2241,9,43:34.2,43:34.2,54,Completed,Paid,4861.47,575.78,875.06,5160.75
197,198,7,459,2,43:34.2,43:34.2,54,Completed,Refunded,2539.97,267.81,457.19,2729.35
198,199,7,2079,8,43:34.2,43:34.2,54,Cancelled,Refunded,4348.86,776.39,782.79,4355.26
199,200,7,1755,7,43:34.2,43:34.2,54,Completed,Pending,2320.86,133.33,417.75,2605.28
200,201,7,1593,6,43:34.2,43:34.2,54,Completed,Failed,2620.39,5.25,471.67,3086.81
201,202,7,2295,9,43:34.2,43:34.2,54,Cancelled,Pending,765.68,11.14,137.82,892.36
202,203,7,1971,8,43:34.2,43:34.2,54,Cancelled,Refunded,4841.36,67.31,871.44,5645.49
203,204,7,27,1,43:34.2,43:34.2,54,Completed,Pending,2121.76,396.56,381.92,2107.12
204,205,7,2079,8,43:34.2,43:34.2,54,Confirmed,Failed,1735.83,193.31,312.45,1854.97
205,206,7,459,2,43:34.2,43:34.2,54,Cancelled,Failed,2467.06,149.42,444.07,2761.71
206,207,7,1161,5,43:34.2,43:34.2,54,Confirmed,Failed,4591.67,894.8,826.5,4523.37
207,208,7,243,1,43:34.2,43:34.2,54,Completed,Refunded,4925.12,242.55,886.52,5569.09
208,209,7,1701,7,43:34.2,43:34.2,54,Completed,Refunded,2781.22,341.29,500.62,2940.55
209,210,7,1431,6,43:34.2,43:34.2,54,Completed,Pending,776.74,123.39,139.81,793.16
210,211,7,675,3,43:34.2,43:34.2,54,Cancelled,Paid,2062.73,188.44,371.29,2245.58
211,212,7,891,4,43:34.2,43:34.2,54,Cancelled,Pending,2403,15.84,432.54,2819.7
212,213,7,783,3,43:34.2,43:34.2,54,Completed,Paid,3508,88.5,631.44,4050.94
213,214,7,621,3,43:34.2,43:34.2,54,Completed,Failed,2214.77,438.2,398.66,2175.23
214,215,7,2079,8,43:34.2,43:34.2,54,Cancelled,Pending,2014.5,325.52,362.61,2051.59
215,216,7,1431,6,43:34.2,43:34.2,54,Cancelled,Failed,1924.82,30.41,346.47,2240.88
216,217,7,1215,5,43:34.2,43:34.2,54,Completed,Failed,3422.79,270.71,616.1,3768.18
217,218,7,2673,10,43:34.2,43:34.2,54,Completed,Failed,1624,253.63,292.32,1662.69
218,219,7,945,4,43:34.2,43:34.2,54,Completed,Paid,1572.45,185.98,283.04,1669.51
219,220,7,189,1,43:34.2,43:34.2,54,Completed,Failed,1861.81,256.2,335.13,1940.74
220,221,7,459,2,43:34.2,43:34.2,54,Confirmed,Pending,3338.19,606.15,600.87,3332.91
221,222,7,2349,9,43:34.2,43:34.2,54,Completed,Pending,1424.91,96.16,256.48,1585.23
222,223,8,2083,8,43:34.2,43:34.2,48,Cancelled,Refunded,1565.22,149.09,281.74,1697.87
223,224,8,247,1,43:34.2,43:34.2,48,Cancelled,Failed,3271.31,257.24,588.84,3602.91
224,225,8,193,1,43:34.2,43:34.2,48,Cancelled,Pending,2834.03,105.69,510.13,3238.47
225,226,8,1489,6,43:34.2,43:34.2,48,Cancelled,Pending,3639,522.75,655.02,3771.27
226,227,8,571,3,43:34.2,43:34.2,48,Confirmed,Paid,3574.92,394.14,643.49,3824.27
227,228,9,1528,6,43:34.2,43:34.2,49,Completed,Failed,3306.57,200.66,595.18,3701.09
228,229,9,1636,7,43:34.2,43:34.2,49,Confirmed,Pending,1071.46,20.96,192.86,1243.36
229,230,9,2230,9,43:34.2,43:34.2,49,Cancelled,Failed,2321.4,125.33,417.85,2613.92
230,231,9,1636,7,43:34.2,43:34.2,49,Confirmed,Failed,2876.26,235.22,517.73,3158.77
231,232,9,1960,8,43:34.2,43:34.2,49,Completed,Paid,2074.57,177.52,373.42,2270.47
232,233,9,2176,9,43:34.2,43:34.2,49,Completed,Pending,3873.96,691.74,697.31,3879.53
233,234,9,1744,7,43:34.2,43:34.2,49,Cancelled,Pending,2221.21,364.09,399.82,2256.94
234,235,9,934,4,43:34.2,43:34.2,49,Cancelled,Refunded,3211.65,505.98,578.1,3283.77
235,236,9,2446,10,43:34.2,43:34.2,49,Completed,Failed,3242.82,583.06,583.71,3243.47
236,237,9,2608,10,43:34.2,43:34.2,49,Cancelled,Refunded,3761.67,519.68,677.1,3919.09
237,238,9,772,3,43:34.2,43:34.2,49,Completed,Refunded,2487.24,347.17,447.7,2587.77
238,239,9,2446,10,43:34.2,43:34.2,49,Completed,Paid,2777.14,200.53,499.89,3076.5
239,240,9,2446,10,43:34.2,43:34.2,49,Cancelled,Paid,845.08,136.22,152.11,860.97
240,241,10,2551,10,43:34.2,43:34.2,4,Completed,Failed,4478.49,672.41,806.13,4612.21
241,242,10,1633,7,43:34.2,43:34.2,4,Confirmed,Pending,2855.34,346.42,513.96,3022.88
242,243,10,2065,8,43:34.2,43:34.2,4,Confirmed,Pending,653.88,11.6,117.7,759.98
243,244,10,715,3,43:34.2,43:34.2,4,Cancelled,Failed,2460.05,437.66,442.81,2465.2
244,245,10,1417,6,43:34.2,43:34.2,4,Confirmed,Pending,3626.53,570.01,652.78,3709.3
245,246,10,607,3,43:34.2,43:34.2,4,Cancelled,Paid,4201.06,239.64,756.19,4717.61
246,247,10,1795,7,43:34.2,43:34.2,4,Confirmed,Pending,1740.79,268.27,313.34,1785.86
247,248,10,2173,9,43:34.2,43:34.2,4,Completed,Pending,4392.91,872.35,790.72,4311.28
248,249,10,1741,7,43:34.2,43:34.2,4,Confirmed,Refunded,3942.7,608.09,709.69,4044.3
249,250,10,175,1,43:34.2,43:34.2,4,Confirmed,Paid,1145.33,149.77,206.16,1201.72
250,251,10,1957,8,43:34.2,43:34.2,4,Cancelled,Paid,865.85,86.52,155.85,935.18
251,252,10,2281,9,43:34.2,43:34.2,4,Cancelled,Refunded,3700.59,236.06,666.11,4130.64
252,253,10,2281,9,43:34.2,43:34.2,4,Cancelled,Paid,2288.91,399.55,412,2301.36
253,254,10,2389,9,43:34.2,43:34.2,4,Cancelled,Failed,560.56,92.4,100.9,569.06
254,255,10,2443,10,43:34.2,43:34.2,4,Completed,Refunded,2724.15,184.6,490.35,3029.9
255,256,10,1525,6,43:34.2,43:34.2,4,Cancelled,Failed,1594.4,21.01,286.99,1860.38
256,257,10,823,4,43:34.2,43:34.2,4,Cancelled,Pending,3106.99,266.83,559.26,3399.42
257,258,10,1309,5,43:34.2,43:34.2,4,Completed,Pending,4341.4,285.63,781.45,4837.22
258,259,10,2389,9,43:34.2,43:34.2,4,Completed,Pending,4911.78,620.72,884.12,5175.18
259,260,10,1255,5,43:34.2,43:34.2,4,Completed,Pending,4600.85,116.1,828.15,5312.9
260,261,10,607,3,43:34.2,43:34.2,4,Completed,Refunded,2018.89,353.06,363.4,2029.23
261,262,10,1903,8,43:34.2,43:34.2,4,Completed,Refunded,3639.45,46.33,655.1,4248.22
262,263,10,283,2,43:34.2,43:34.2,4,Cancelled,Refunded,891.09,6.71,160.4,1044.78
263,264,10,1687,7,43:34.2,43:34.2,4,Cancelled,Paid,4978.87,755.27,896.2,5119.8
264,265,10,1039,4,43:34.2,43:34.2,4,Confirmed,Failed,4901.48,466.2,882.27,5317.55
265,266,10,391,2,43:34.2,43:34.2,4,Cancelled,Failed,4286.23,101.6,771.52,4956.15
