Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Service_Time,Booking_Time,Lead_Time,Service_Time_Slot,Base_Fare,Adjusted_Fare,Location_Adjusted_Fare,Final_Payment
128,5,4,1,2014-08-02,2014-08-10,29,Cancelled,Pending,8,12:02:46,8,Morning,402,402.0,692.0,692.0
18283,731,4,1,2014-08-02,2014-08-11,29,Completed,Failed,4,10:32:39,9,Night,402,402.0,692.0,795.8
31912,1300,4,1,2014-08-14,2014-08-16,29,Confirmed,Failed,1,15:58:54,2,Night,402,482.4,772.4,888.26
31101,1263,4,1,2014-08-18,2014-08-20,29,Cancelled,Refunded,4,09:40:25,2,Night,402,482.4,772.4,888.26
19684,794,4,1,2014-08-14,2014-08-21,29,Completed,Failed,15,23:36:44,7,Afternoon,402,402.0,692.0,726.6
6581,264,4,1,2014-08-24,2014-08-26,29,Confirmed,Paid,21,06:26:03,2,Evening,402,482.4,772.4,849.64
17746,712,4,1,2014-08-26,2014-08-28,29,Confirmed,Failed,10,20:19:20,2,Morning,402,482.4,772.4,772.4
6070,246,5,1,2020-08-24,2020-08-28,31,Confirmed,Pending,4,17:56:59,4,Night,402,402.0,712.0,818.8
8275,325,5,1,2020-08-24,2020-08-29,31,Confirmed,Failed,22,10:34:14,5,Night,402,402.0,712.0,818.8
1314,56,5,1,2020-08-23,2020-08-31,31,Confirmed,Pending,5,15:37:52,8,Night,402,402.0,712.0,818.8
2480,103,5,1,2020-09-01,2020-09-03,31,Confirmed,Failed,12,23:51:34,2,Afternoon,402,482.4,792.4,832.02
26363,1060,5,1,2020-08-28,2020-09-04,31,Confirmed,Refunded,3,07:10:33,7,Night,402,402.0,712.0,818.8
10192,409,5,1,2020-08-29,2020-09-05,31,Confirmed,Refunded,17,23:14:31,7,Evening,402,402.0,712.0,783.2
8065,316,5,1,2020-08-28,2020-09-07,31,Cancelled,Pending,21,01:01:55,10,Evening,402,402.0,712.0,783.2
24046,971,5,1,2020-09-08,2020-09-11,31,Cancelled,Pending,2,14:19:58,3,Night,402,402.0,712.0,818.8
2670,113,5,1,2020-09-06,2020-09-15,31,Confirmed,Pending,21,22:26:10,9,Evening,402,402.0,712.0,783.2
6067,246,5,1,2020-09-17,2020-09-20,31,Cancelled,Pending,6,12:11:06,3,Morning,402,402.0,712.0,712.0
13781,559,5,1,2020-09-18,2020-09-21,31,Completed,Paid,8,14:39:03,3,Morning,402,402.0,712.0,712.0
29103,1184,5,1,2020-09-20,2020-09-24,31,Confirmed,Refunded,8,23:28:55,4,Morning,402,402.0,712.0,712.0
29123,1184,5,1,2020-09-17,2020-09-27,31,Completed,Refunded,12,15:11:25,10,Afternoon,402,402.0,712.0,747.6
827,32,6,1,2021-12-02,2021-12-07,12,Completed,Paid,13,03:24:40,5,Afternoon,402,402.0,522.0,548.1
3009,125,6,1,2021-12-01,2021-12-11,12,Confirmed,Refunded,3,21:37:10,10,Night,402,402.0,522.0,600.3
22553,914,6,1,2021-12-14,2021-12-16,12,Cancelled,Refunded,6,11:33:47,2,Morning,402,482.4,602.4,602.4
19630,793,6,1,2021-12-11,2021-12-20,12,Confirmed,Paid,18,04:32:40,9,Evening,402,402.0,522.0,574.2
8824,349,6,1,2021-12-15,2021-12-24,12,Confirmed,Failed,19,21:30:45,9,Evening,402,402.0,522.0,574.2
20729,841,6,1,2021-12-21,2021-12-28,12,Completed,Pending,22,17:18:34,7,Night,402,402.0,522.0,600.3
20755,841,6,1,2021-12-27,2021-12-29,12,Completed,Pending,5,00:29:31,2,Night,402,482.4,602.4,692.76
31205,1268,6,1,2021-12-21,2021-12-31,12,Cancelled,Paid,21,10:58:28,10,Evening,402,402.0,522.0,574.2
8837,349,6,1,2021-12-24,2022-01-01,12,Cancelled,Failed,2,07:31:11,8,Night,402,402.0,522.0,600.3
3875,159,6,1,2022-01-02,2022-01-06,12,Cancelled,Paid,6,21:18:55,4,Morning,402,402.0,522.0,522.0
2269,94,6,1,2021-12-29,2022-01-07,12,Cancelled,Refunded,18,07:45:50,9,Evening,402,402.0,522.0,574.2
15752,635,6,1,2022-01-05,2022-01-10,12,Cancelled,Pending,13,18:10:18,5,Afternoon,402,402.0,522.0,548.1
16871,678,6,1,2022-01-03,2022-01-12,12,Cancelled,Pending,16,23:50:52,9,Afternoon,402,402.0,522.0,548.1
30532,1241,7,1,2012-06-02,2012-06-10,53,Cancelled,Refunded,4,18:21:25,8,Night,402,402.0,932.0,1071.8
28545,1158,7,1,2012-06-05,2012-06-15,53,Confirmed,Failed,21,22:45:01,10,Evening,402,402.0,932.0,1025.2
30526,1241,7,1,2012-06-15,2012-06-17,53,Confirmed,Paid,16,20:08:58,2,Afternoon,402,482.4,1012.4,1063.02
6936,277,7,1,2012-06-14,2012-06-22,53,Completed,Paid,22,07:24:30,8,Night,402,402.0,932.0,1071.8
30517,1241,7,1,2012-06-16,2012-06-26,53,Completed,Paid,15,16:50:00,10,Afternoon,402,402.0,932.0,978.6
31804,1296,7,1,2012-06-25,2012-06-29,53,Completed,Failed,15,15:14:25,4,Afternoon,402,402.0,932.0,978.6
16131,649,7,1,2012-06-25,2012-07-04,53,Cancelled,Pending,14,11:58:23,9,Afternoon,402,402.0,932.0,978.6
31812,1296,7,1,2012-07-02,2012-07-05,53,Confirmed,Pending,19,07:51:05,3,Evening,402,402.0,932.0,1025.2
16155,649,7,1,2012-06-30,2012-07-08,53,Confirmed,Paid,21,14:08:57,8,Evening,402,402.0,932.0,1025.2
4521,186,7,1,2012-07-04,2012-07-10,53,Confirmed,Pending,4,05:11:52,6,Night,402,402.0,932.0,1071.8
1832,77,7,1,2012-07-03,2012-07-11,53,Completed,Paid,4,07:10:21,8,Night,402,402.0,932.0,1071.8
28541,1158,7,1,2012-07-10,2012-07-14,53,Confirmed,Pending,5,08:33:38,4,Night,402,402.0,932.0,1071.8
26166,1053,7,1,2012-07-12,2012-07-18,53,Completed,Pending,19,09:21:17,6,Evening,402,402.0,932.0,1025.2
2420,101,7,1,2012-07-10,2012-07-19,53,Cancelled,Failed,0,20:46:46,9,Night,402,402.0,932.0,1071.8
6933,277,7,1,2012-07-18,2012-07-20,53,Confirmed,Refunded,17,01:06:12,2,Evening,402,482.4,1012.4,1113.64
22920,926,8,1,2021-04-06,2021-04-15,14,Completed,Pending,14,14:36:12,9,Afternoon,402,402.0,542.0,569.1
9437,378,8,1,2021-04-10,2021-04-19,14,Confirmed,Pending,10,15:59:16,9,Morning,402,402.0,542.0,542.0
22007,896,8,1,2021-04-19,2021-04-21,14,Confirmed,Paid,5,17:02:57,2,Night,402,482.4,622.4,715.76
12212,489,8,1,2021-04-21,2021-04-24,14,Cancelled,Refunded,14,11:14:22,3,Afternoon,402,402.0,542.0,569.1
13392,541,8,1,2021-04-21,2021-04-28,14,Confirmed,Paid,10,09:24:10,7,Morning,402,402.0,542.0,542.0
14135,570,8,1,2021-04-27,2021-05-01,14,Cancelled,Pending,4,21:05:34,4,Night,402,402.0,542.0,623.3
12197,489,8,1,2021-04-30,2021-05-03,14,Confirmed,Failed,12,18:16:29,3,Afternoon,402,402.0,542.0,569.1
16315,657,8,1,2021-04-26,2021-05-06,14,Completed,Pending,7,20:58:33,10,Morning,402,402.0,542.0,542.0
21987,896,8,1,2021-05-03,2021-05-09,14,Completed,Paid,14,07:10:54,6,Afternoon,402,402.0,542.0,569.1
13283,536,8,1,2021-05-10,2021-05-13,14,Cancelled,Pending,7,22:58:21,3,Morning,402,402.0,542.0,542.0
3269,137,8,1,2021-05-04,2021-05-14,14,Confirmed,Paid,11,16:50:19,10,Morning,402,402.0,542.0,542.0
29248,1192,8,1,2021-05-13,2021-05-15,14,Cancelled,Paid,18,00:47:39,2,Evening,402,482.4,622.4,684.64
18481,744,9,1,2014-11-06,2014-11-09,13,Confirmed,Paid,6,01:55:17,3,Morning,402,402.0,532.0,532.0
7074,282,9,1,2014-11-09,2014-11-12,13,Completed,Paid,5,05:39:23,3,Night,402,402.0,532.0,611.8
3193,134,9,1,2014-11-14,2014-11-17,13,Completed,Failed,18,03:08:06,3,Evening,402,402.0,532.0,585.2
14403,583,9,1,2014-11-15,2014-11-19,13,Completed,Refunded,17,08:28:27,4,Evening,402,402.0,532.0,585.2
18500,744,9,1,2014-11-16,2014-11-21,13,Cancelled,Paid,22,18:01:58,5,Night,402,402.0,532.0,611.8
3195,134,9,1,2014-11-21,2014-11-26,13,Confirmed,Failed,19,16:54:03,5,Evening,402,402.0,532.0,585.2
5522,226,10,1,2018-09-24,2018-10-04,22,Confirmed,Paid,12,17:47:04,10,Afternoon,402,402.0,622.0,653.1
7318,290,10,1,2018-09-29,2018-10-05,22,Confirmed,Pending,10,22:02:55,6,Morning,402,402.0,622.0,622.0
2739,115,10,1,2018-10-04,2018-10-08,22,Confirmed,Pending,22,09:42:33,4,Night,402,402.0,622.0,715.3
5547,226,10,1,2018-09-30,2018-10-10,22,Completed,Paid,17,10:05:31,10,Evening,402,402.0,622.0,684.2
6911,276,10,1,2018-10-06,2018-10-12,22,Cancelled,Refunded,8,02:27:27,6,Morning,402,402.0,622.0,622.0
4917,200,10,1,2018-10-09,2018-10-13,22,Completed,Paid,8,23:22:17,4,Morning,402,402.0,622.0,622.0
6881,276,10,1,2018-10-09,2018-10-14,22,Completed,Pending,8,03:58:12,5,Morning,402,402.0,622.0,622.0
7326,290,10,1,2018-10-11,2018-10-16,22,Completed,Failed,8,01:00:05,5,Morning,402,402.0,622.0,622.0
21788,887,11,1,2013-09-10,2013-09-19,18,Confirmed,Pending,18,09:55:27,9,Evening,402,402.0,582.0,640.2
21811,887,11,1,2013-09-18,2013-09-22,18,Completed,Refunded,21,21:20:08,4,Evening,402,402.0,582.0,640.2
14257,576,11,1,2013-09-21,2013-09-23,18,Confirmed,Pending,23,21:42:57,2,Night,402,482.4,662.4,761.76
953,39,11,1,2013-09-18,2013-09-24,18,Cancelled,Refunded,21,19:56:29,6,Evening,402,402.0,582.0,640.2
14258,576,11,1,2013-09-22,2013-09-26,18,Confirmed,Failed,22,06:00:17,4,Night,402,402.0,582.0,669.3
21486,873,11,1,2013-09-21,2013-09-28,18,Cancelled,Paid,7,18:07:42,7,Morning,402,402.0,582.0,582.0
30138,1225,11,1,2013-09-25,2013-09-30,18,Cancelled,Pending,7,08:00:22,5,Morning,402,402.0,582.0,582.0
29605,1204,11,1,2013-10-01,2013-10-03,18,Confirmed,Paid,22,17:37:39,2,Night,402,482.4,662.4,761.76
29591,1204,11,1,2013-10-02,2013-10-06,18,Confirmed,Paid,11,14:03:07,4,Morning,402,402.0,582.0,582.0
31333,1272,11,1,2013-10-09,2013-10-11,18,Confirmed,Failed,16,16:06:15,2,Afternoon,402,482.4,662.4,695.52
21796,887,11,1,2013-10-08,2013-10-14,18,Confirmed,Pending,5,23:21:02,6,Night,402,402.0,582.0,669.3
1111,48,11,1,2013-10-14,2013-10-19,18,Confirmed,Pending,1,12:06:47,5,Night,402,402.0,582.0,669.3
15060,605,12,1,2017-04-13,2017-04-23,3,Completed,Refunded,12,20:39:20,10,Afternoon,402,402.0,432.0,453.6
15532,623,12,1,2017-04-25,2017-04-28,3,Cancelled,Pending,13,23:07:46,3,Afternoon,402,402.0,432.0,453.6
8085,317,13,1,2016-04-03,2016-04-08,4,Cancelled,Pending,9,04:08:29,5,Morning,402,402.0,442.0,442.0
6625,267,14,1,2013-02-14,2013-02-22,43,Completed,Refunded,6,23:42:12,8,Morning,402,402.0,832.0,832.0
31243,1269,14,1,2013-02-19,2013-02-23,43,Cancelled,Failed,14,02:31:40,4,Afternoon,402,402.0,832.0,873.6
1805,76,14,1,2013-02-20,2013-02-28,43,Confirmed,Paid,0,23:23:46,8,Night,402,402.0,832.0,956.8
30071,1223,14,1,2013-02-26,2013-03-01,43,Cancelled,Refunded,14,04:27:54,3,Afternoon,402,402.0,832.0,873.6
31248,1269,14,1,2013-03-01,2013-03-04,43,Completed,Failed,21,04:00:39,3,Evening,402,402.0,832.0,915.2
31254,1269,14,1,2013-02-26,2013-03-05,43,Cancelled,Pending,6,11:15:48,7,Morning,402,402.0,832.0,832.0
6637,267,14,1,2013-03-04,2013-03-08,43,Completed,Paid,11,14:28:29,4,Morning,402,402.0,832.0,832.0
4875,199,14,1,2013-03-08,2013-03-12,43,Confirmed,Pending,15,18:20:29,4,Afternoon,402,402.0,832.0,873.6
19585,790,14,1,2013-03-09,2013-03-13,43,Cancelled,Failed,11,06:43:06,4,Morning,402,402.0,832.0,832.0
29777,1213,14,1,2013-03-11,2013-03-17,43,Completed,Failed,12,02:58:40,6,Afternoon,402,402.0,832.0,873.6
32995,1068,14,1,2013-03-13,2013-03-18,43,Completed,Pending,6,18:26:44,5,Morning,402,402.0,832.0,832.0
30465,1239,14,1,2013-03-15,2013-03-19,43,Confirmed,Refunded,18,03:43:07,4,Evening,402,402.0,832.0,915.2
19737,799,14,1,2013-03-18,2013-03-23,43,Confirmed,Paid,13,18:52:43,5,Afternoon,402,402.0,832.0,873.6
14752,595,14,1,2013-03-19,2013-03-25,43,Cancelled,Failed,11,13:39:37,6,Morning,402,402.0,832.0,832.0
6634,267,14,1,2013-03-21,2013-03-27,43,Confirmed,Failed,6,22:52:16,6,Morning,402,402.0,832.0,832.0
26544,1068,14,1,2013-03-28,2013-03-31,43,Confirmed,Pending,17,14:26:10,3,Evening,402,402.0,832.0,915.2
19746,799,14,1,2013-03-23,2013-04-01,43,Confirmed,Paid,3,08:00:51,9,Night,402,402.0,832.0,956.8
26571,1068,14,1,2013-03-24,2013-04-02,43,Confirmed,Paid,12,00:00:39,9,Afternoon,402,402.0,832.0,873.6
1693,71,15,1,2015-06-04,2015-06-09,20,Cancelled,Paid,20,08:03:39,5,Evening,402,402.0,602.0,662.2
24957,1006,15,1,2015-06-05,2015-06-10,20,Completed,Failed,14,06:50:59,5,Afternoon,402,402.0,602.0,632.1
24921,1006,15,1,2015-06-09,2015-06-11,20,Cancelled,Paid,14,01:44:06,2,Afternoon,402,482.4,682.4,716.52
20936,849,15,1,2015-06-09,2015-06-15,20,Cancelled,Pending,11,12:05:42,6,Morning,402,402.0,602.0,602.0
13872,561,15,1,2015-06-15,2015-06-18,20,Cancelled,Failed,13,12:51:20,3,Afternoon,402,402.0,602.0,632.1
27507,1110,15,1,2015-06-14,2015-06-21,20,Cancelled,Pending,22,20:10:17,7,Night,402,402.0,602.0,692.3
24266,979,16,1,2014-03-31,2014-04-08,49,Confirmed,Pending,23,21:33:52,8,Night,402,402.0,892.0,1025.8
24848,1002,16,1,2014-04-03,2014-04-13,49,Completed,Paid,21,07:40:20,10,Evening,402,402.0,892.0,981.2
16642,669,16,1,2014-04-09,2014-04-15,49,Completed,Refunded,2,11:51:13,6,Night,402,402.0,892.0,1025.8
29878,1217,16,1,2014-04-07,2014-04-16,49,Cancelled,Refunded,16,01:56:57,9,Afternoon,402,402.0,892.0,936.6
19486,786,16,1,2014-04-15,2014-04-17,49,Cancelled,Refunded,23,20:43:12,2,Night,402,482.4,972.4,1118.26
23337,944,16,1,2014-04-13,2014-04-20,49,Completed,Failed,9,22:51:12,7,Morning,402,402.0,892.0,892.0
749,30,16,1,2014-04-18,2014-04-21,49,Confirmed,Refunded,11,15:50:44,3,Morning,402,402.0,892.0,892.0
19501,786,16,1,2014-04-17,2014-04-25,49,Confirmed,Failed,10,21:18:07,8,Morning,402,402.0,892.0,892.0
16647,669,16,1,2014-04-23,2014-04-27,49,Confirmed,Failed,7,01:21:00,4,Morning,402,402.0,892.0,892.0
29876,1217,16,1,2014-04-21,2014-05-01,49,Cancelled,Refunded,16,19:03:56,10,Afternoon,402,402.0,892.0,936.6
27172,1096,16,1,2014-05-02,2014-05-04,49,Confirmed,Pending,8,03:11:57,2,Morning,402,482.4,972.4,972.4
24269,979,16,1,2014-05-03,2014-05-08,49,Cancelled,Refunded,5,05:59:36,5,Night,402,402.0,892.0,1025.8
16429,663,16,1,2014-05-06,2014-05-12,49,Confirmed,Refunded,17,21:30:09,6,Evening,402,402.0,892.0,981.2
16623,669,16,1,2014-05-10,2014-05-16,49,Cancelled,Failed,4,09:13:21,6,Night,402,402.0,892.0,1025.8
16455,663,16,1,2014-05-09,2014-05-19,49,Cancelled,Paid,3,16:17:14,10,Night,402,402.0,892.0,1025.8
10326,417,16,1,2014-05-20,2014-05-23,49,Confirmed,Pending,20,19:04:48,3,Evening,402,402.0,892.0,981.2
19471,786,16,1,2014-05-17,2014-05-26,49,Cancelled,Refunded,20,22:39:55,9,Evening,402,402.0,892.0,981.2
17783,714,17,1,2018-08-11,2018-08-21,47,Confirmed,Pending,1,21:55:14,10,Night,402,402.0,872.0,1002.8
8466,333,17,1,2018-08-22,2018-08-26,47,Cancelled,Failed,23,09:42:51,4,Night,402,402.0,872.0,1002.8
12331,493,17,1,2018-08-25,2018-08-30,47,Confirmed,Pending,10,19:34:35,5,Morning,402,402.0,872.0,872.0
12369,493,17,1,2018-09-01,2018-09-03,47,Completed,Paid,14,21:20:01,2,Afternoon,402,482.4,952.4,1000.02
28779,1171,17,1,2018-09-04,2018-09-06,47,Cancelled,Pending,20,13:09:31,2,Evening,402,482.4,952.4,1047.64
8478,333,17,1,2018-09-06,2018-09-11,47,Confirmed,Failed,8,22:55:39,5,Morning,402,402.0,872.0,872.0
8487,333,17,1,2018-09-06,2018-09-16,47,Cancelled,Paid,4,01:29:43,10,Night,402,402.0,872.0,1002.8
14120,569,17,1,2018-09-16,2018-09-18,47,Confirmed,Paid,1,19:38:23,2,Night,402,482.4,952.4,1095.26
12890,515,17,1,2018-09-18,2018-09-23,47,Completed,Failed,10,09:18:42,5,Morning,402,402.0,872.0,872.0
12877,515,17,1,2018-09-22,2018-09-28,47,Cancelled,Pending,5,11:55:30,6,Night,402,402.0,872.0,1002.8
21256,863,17,1,2018-09-24,2018-09-29,47,Completed,Pending,17,07:37:06,5,Evening,402,402.0,872.0,959.2
12353,493,17,1,2018-10-01,2018-10-04,47,Cancelled,Paid,3,05:19:45,3,Night,402,402.0,872.0,1002.8
29192,1189,17,1,2018-09-26,2018-10-05,47,Confirmed,Refunded,23,16:33:08,9,Night,402,402.0,872.0,1002.8
17778,714,17,1,2018-09-30,2018-10-08,47,Completed,Refunded,23,00:40:28,8,Night,402,402.0,872.0,1002.8
5268,215,18,1,2024-02-20,2024-02-23,38,Confirmed,Failed,20,23:04:58,3,Evening,402,402.0,782.0,860.2
19705,797,18,1,2024-02-23,2024-02-26,38,Cancelled,Refunded,12,08:33:48,3,Afternoon,402,402.0,782.0,821.1
31371,1274,18,1,2024-02-28,2024-03-01,38,Confirmed,Pending,1,18:29:30,2,Night,402,482.4,862.4,991.76
15466,619,18,1,2024-03-01,2024-03-03,38,Completed,Failed,5,07:01:29,2,Night,402,482.4,862.4,991.76
16189,650,18,1,2024-03-01,2024-03-06,38,Confirmed,Pending,3,00:18:00,5,Night,402,402.0,782.0,899.3
31934,1301,18,1,2024-03-06,2024-03-09,38,Cancelled,Failed,9,01:08:41,3,Morning,402,402.0,782.0,782.0
23400,947,18,1,2024-03-07,2024-03-12,38,Completed,Pending,16,04:19:50,5,Afternoon,402,402.0,782.0,821.1
7151,283,18,1,2024-03-05,2024-03-14,38,Confirmed,Pending,5,00:40:54,9,Night,402,402.0,782.0,899.3
7154,283,18,1,2024-03-07,2024-03-17,38,Cancelled,Refunded,3,04:54:10,10,Night,402,402.0,782.0,899.3
17662,707,18,1,2024-03-12,2024-03-22,38,Completed,Refunded,23,20:22:24,10,Night,402,402.0,782.0,899.3
391,15,18,1,2024-03-23,2024-03-25,38,Cancelled,Refunded,18,11:05:36,2,Evening,402,482.4,862.4,948.64
23399,947,18,1,2024-03-25,2024-03-29,38,Completed,Failed,21,05:34:42,4,Evening,402,402.0,782.0,860.2
19716,797,18,1,2024-03-29,2024-04-02,38,Cancelled,Refunded,12,06:15:22,4,Afternoon,402,402.0,782.0,821.1
23111,933,18,1,2024-04-02,2024-04-07,38,Confirmed,Failed,2,19:46:33,5,Night,402,402.0,782.0,899.3
22648,916,18,1,2024-04-03,2024-04-11,38,Completed,Failed,13,07:26:21,8,Afternoon,402,402.0,782.0,821.1
10054,405,18,1,2024-04-09,2024-04-12,38,Completed,Refunded,17,20:28:17,3,Evening,402,402.0,782.0,860.2
23117,933,18,1,2024-04-13,2024-04-16,38,Completed,Refunded,6,17:43:07,3,Morning,402,402.0,782.0,782.0
31361,1274,18,1,2024-04-11,2024-04-17,38,Cancelled,Paid,15,22:29:07,6,Afternoon,402,402.0,782.0,821.1
5270,215,18,1,2024-04-11,2024-04-20,38,Confirmed,Paid,8,09:03:10,9,Morning,402,402.0,782.0,782.0
10051,405,18,1,2024-04-16,2024-04-22,38,Cancelled,Paid,17,03:19:53,6,Evening,402,402.0,782.0,860.2
17227,690,18,1,2024-04-14,2024-04-24,38,Cancelled,Paid,20,18:35:30,10,Evening,402,402.0,782.0,860.2
17658,707,18,1,2024-04-18,2024-04-28,38,Confirmed,Failed,0,21:01:29,10,Night,402,402.0,782.0,899.3
25195,1017,18,1,2024-04-24,2024-05-02,38,Cancelled,Paid,15,13:30:32,8,Afternoon,402,402.0,782.0,821.1
10048,405,18,1,2024-05-02,2024-05-07,38,Completed,Pending,16,09:02:02,5,Afternoon,402,402.0,782.0,821.1
5274,215,18,1,2024-05-02,2024-05-08,38,Cancelled,Refunded,17,02:18:57,6,Evening,402,402.0,782.0,860.2
10060,405,18,1,2024-05-07,2024-05-13,38,Completed,Paid,15,03:31:10,6,Afternoon,402,402.0,782.0,821.1
21352,867,18,1,2024-05-13,2024-05-18,38,Completed,Refunded,17,09:06:02,5,Evening,402,402.0,782.0,860.2
22664,916,18,1,2024-05-16,2024-05-21,38,Completed,Paid,12,14:51:55,5,Afternoon,402,402.0,782.0,821.1
6608,266,18,1,2024-05-18,2024-05-24,38,Cancelled,Refunded,19,00:34:06,6,Evening,402,402.0,782.0,860.2
31369,1274,18,1,2024-05-24,2024-05-26,38,Confirmed,Pending,14,12:39:26,2,Afternoon,402,482.4,862.4,905.52
17498,700,18,1,2024-05-20,2024-05-27,38,Completed,Paid,20,00:07:16,7,Evening,402,402.0,782.0,860.2
22659,916,18,1,2024-05-18,2024-05-28,38,Confirmed,Paid,6,16:56:20,10,Morning,402,402.0,782.0,782.0
10159,408,19,1,2023-11-19,2023-11-25,16,Cancelled,Failed,12,06:04:42,6,Afternoon,402,402.0,562.0,590.1
2542,106,19,1,2023-11-20,2023-11-26,16,Completed,Pending,14,13:51:05,6,Afternoon,402,402.0,562.0,590.1
29931,1218,19,1,2023-11-25,2023-11-29,16,Cancelled,Pending,20,04:09:53,4,Evening,402,402.0,562.0,618.2
16733,672,19,1,2023-11-30,2023-12-03,16,Completed,Refunded,3,07:37:19,3,Night,402,402.0,562.0,646.3
20211,816,19,1,2023-11-29,2023-12-08,16,Cancelled,Failed,13,11:22:49,9,Afternoon,402,402.0,562.0,590.1
12916,516,19,1,2023-12-01,2023-12-11,16,Confirmed,Refunded,4,17:29:06,10,Night,402,402.0,562.0,646.3
10817,436,19,1,2023-12-08,2023-12-13,16,Confirmed,Failed,11,19:35:38,5,Morning,402,402.0,562.0,562.0
10823,436,19,1,2023-12-08,2023-12-17,16,Confirmed,Pending,6,10:59:21,9,Morning,402,402.0,562.0,562.0
19532,787,19,1,2023-12-10,2023-12-20,16,Cancelled,Paid,13,12:07:28,10,Afternoon,402,402.0,562.0,590.1
